ordinal,anonymized_packet_key,real_packet_id,instance_id,system_id,annotation_origin,source_template_id
1,ag_001,arrays_binary_search_004__text_only_v1,arrays_binary_search_004,text_only_v1,direct_adjudicated,arrays_binary_search_002
2,ag_002,arrays_binary_search_004__code_only_v1,arrays_binary_search_004,code_only_v1,direct_adjudicated,arrays_binary_search_001
3,ag_003,arrays_binary_search_004__naive_concat_v1,arrays_binary_search_004,naive_concat_v1,direct_adjudicated,arrays_binary_search_001
4,ag_004,arrays_binary_search_004__full_method_v1,arrays_binary_search_004,full_method_v1,direct_adjudicated,arrays_binary_search_001
5,ag_005,arrays_binary_search_005__text_only_v1,arrays_binary_search_005,text_only_v1,direct_adjudicated,arrays_binary_search_002
6,ag_006,arrays_binary_search_005__code_only_v1,arrays_binary_search_005,code_only_v1,mapped_from_canonical,arrays_binary_search_002
7,ag_007,arrays_binary_search_005__naive_concat_v1,arrays_binary_search_005,naive_concat_v1,mapped_from_canonical,arrays_binary_search_002
8,ag_008,arrays_binary_search_005__full_method_v1,arrays_binary_search_005,full_method_v1,direct_adjudicated,arrays_binary_search_002
9,ag_009,arrays_binary_search_006__text_only_v1,arrays_binary_search_006,text_only_v1,direct_adjudicated,arrays_binary_search_002
10,ag_010,arrays_binary_search_006__code_only_v1,arrays_binary_search_006,code_only_v1,mapped_from_canonical,arrays_binary_search_001
11,ag_011,arrays_binary_search_006__naive_concat_v1,arrays_binary_search_006,naive_concat_v1,direct_adjudicated,arrays_binary_search_001
12,ag_012,arrays_binary_search_006__full_method_v1,arrays_binary_search_006,full_method_v1,direct_adjudicated,arrays_binary_search_001
13,ag_013,arrays_binary_search_007__text_only_v1,arrays_binary_search_007,text_only_v1,direct_adjudicated,arrays_binary_search_002
14,ag_014,arrays_binary_search_007__code_only_v1,arrays_binary_search_007,code_only_v1,mapped_from_canonical,arrays_binary_search_002
15,ag_015,arrays_binary_search_007__naive_concat_v1,arrays_binary_search_007,naive_concat_v1,mapped_from_canonical,arrays_binary_search_002
16,ag_016,arrays_binary_search_007__full_method_v1,arrays_binary_search_007,full_method_v1,direct_adjudicated,arrays_binary_search_002
17,ag_017,arrays_max_subarray_004__text_only_v1,arrays_max_subarray_004,text_only_v1,direct_adjudicated,arrays_max_subarray_001
18,ag_018,arrays_max_subarray_004__code_only_v1,arrays_max_subarray_004,code_only_v1,mapped_from_canonical,arrays_max_subarray_001
19,ag_019,arrays_max_subarray_004__naive_concat_v1,arrays_max_subarray_004,naive_concat_v1,direct_adjudicated,arrays_max_subarray_001
20,ag_020,arrays_max_subarray_004__full_method_v1,arrays_max_subarray_004,full_method_v1,direct_adjudicated,arrays_max_subarray_001
21,ag_021,arrays_max_subarray_005__text_only_v1,arrays_max_subarray_005,text_only_v1,direct_adjudicated,arrays_max_subarray_002
22,ag_022,arrays_max_subarray_005__code_only_v1,arrays_max_subarray_005,code_only_v1,mapped_from_canonical,arrays_max_subarray_002
23,ag_023,arrays_max_subarray_005__naive_concat_v1,arrays_max_subarray_005,naive_concat_v1,direct_adjudicated,arrays_max_subarray_002
24,ag_024,arrays_max_subarray_005__full_method_v1,arrays_max_subarray_005,full_method_v1,direct_adjudicated,arrays_max_subarray_002
25,ag_025,arrays_max_subarray_006__text_only_v1,arrays_max_subarray_006,text_only_v1,direct_adjudicated,arrays_max_subarray_001
26,ag_026,arrays_max_subarray_006__code_only_v1,arrays_max_subarray_006,code_only_v1,mapped_from_canonical,arrays_max_subarray_001
27,ag_027,arrays_max_subarray_006__naive_concat_v1,arrays_max_subarray_006,naive_concat_v1,direct_adjudicated,arrays_max_subarray_001
28,ag_028,arrays_max_subarray_006__full_method_v1,arrays_max_subarray_006,full_method_v1,direct_adjudicated,arrays_max_subarray_001
29,ag_029,arrays_max_subarray_007__text_only_v1,arrays_max_subarray_007,text_only_v1,direct_adjudicated,arrays_max_subarray_002
30,ag_030,arrays_max_subarray_007__code_only_v1,arrays_max_subarray_007,code_only_v1,mapped_from_canonical,arrays_max_subarray_002
31,ag_031,arrays_max_subarray_007__naive_concat_v1,arrays_max_subarray_007,naive_concat_v1,direct_adjudicated,arrays_max_subarray_002
32,ag_032,arrays_max_subarray_007__full_method_v1,arrays_max_subarray_007,full_method_v1,mapped_from_canonical,arrays_max_subarray_002
33,ag_033,dp_knapsack_01_004__text_only_v1,dp_knapsack_01_004,text_only_v1,direct_adjudicated,dp_knapsack_01_001
34,ag_034,dp_knapsack_01_004__code_only_v1,dp_knapsack_01_004,code_only_v1,direct_adjudicated,dp_knapsack_01_001
35,ag_035,dp_knapsack_01_004__naive_concat_v1,dp_knapsack_01_004,naive_concat_v1,direct_adjudicated,dp_knapsack_01_001
36,ag_036,dp_knapsack_01_004__full_method_v1,dp_knapsack_01_004,full_method_v1,direct_adjudicated,dp_knapsack_01_001
37,ag_037,dp_knapsack_01_005__text_only_v1,dp_knapsack_01_005,text_only_v1,direct_adjudicated,dp_knapsack_01_002
38,ag_038,dp_knapsack_01_005__code_only_v1,dp_knapsack_01_005,code_only_v1,direct_adjudicated,dp_knapsack_01_002
39,ag_039,dp_knapsack_01_005__naive_concat_v1,dp_knapsack_01_005,naive_concat_v1,direct_adjudicated,dp_knapsack_01_002
40,ag_040,dp_knapsack_01_005__full_method_v1,dp_knapsack_01_005,full_method_v1,direct_adjudicated,dp_knapsack_01_002
41,ag_041,dp_knapsack_01_006__text_only_v1,dp_knapsack_01_006,text_only_v1,direct_adjudicated,dp_knapsack_01_001
42,ag_042,dp_knapsack_01_006__code_only_v1,dp_knapsack_01_006,code_only_v1,direct_adjudicated,dp_knapsack_01_001
43,ag_043,dp_knapsack_01_006__naive_concat_v1,dp_knapsack_01_006,naive_concat_v1,direct_adjudicated,dp_knapsack_01_001
44,ag_044,dp_knapsack_01_006__full_method_v1,dp_knapsack_01_006,full_method_v1,mapped_from_canonical,dp_knapsack_01_001
45,ag_045,dp_knapsack_01_007__text_only_v1,dp_knapsack_01_007,text_only_v1,mapped_from_canonical,dp_knapsack_01_002
46,ag_046,dp_knapsack_01_007__code_only_v1,dp_knapsack_01_007,code_only_v1,mapped_from_canonical,dp_knapsack_01_002
47,ag_047,dp_knapsack_01_007__naive_concat_v1,dp_knapsack_01_007,naive_concat_v1,mapped_from_canonical,dp_knapsack_01_002
48,ag_048,dp_knapsack_01_007__full_method_v1,dp_knapsack_01_007,full_method_v1,mapped_from_canonical,dp_knapsack_01_002
49,ag_049,dp_longest_common_subsequence_004__text_only_v1,dp_longest_common_subsequence_004,text_only_v1,direct_adjudicated,dp_longest_common_subsequence_001
50,ag_050,dp_longest_common_subsequence_004__code_only_v1,dp_longest_common_subsequence_004,code_only_v1,direct_adjudicated,dp_longest_common_subsequence_001
51,ag_051,dp_longest_common_subsequence_004__naive_concat_v1,dp_longest_common_subsequence_004,naive_concat_v1,direct_adjudicated,dp_longest_common_subsequence_001
52,ag_052,dp_longest_common_subsequence_004__full_method_v1,dp_longest_common_subsequence_004,full_method_v1,direct_adjudicated,dp_longest_common_subsequence_001
53,ag_053,dp_longest_common_subsequence_005__text_only_v1,dp_longest_common_subsequence_005,text_only_v1,direct_adjudicated,dp_longest_common_subsequence_002
54,ag_054,dp_longest_common_subsequence_005__code_only_v1,dp_longest_common_subsequence_005,code_only_v1,mapped_from_canonical,dp_longest_common_subsequence_002
55,ag_055,dp_longest_common_subsequence_005__naive_concat_v1,dp_longest_common_subsequence_005,naive_concat_v1,direct_adjudicated,dp_longest_common_subsequence_002
56,ag_056,dp_longest_common_subsequence_005__full_method_v1,dp_longest_common_subsequence_005,full_method_v1,mapped_from_canonical,dp_longest_common_subsequence_002
57,ag_057,dp_longest_common_subsequence_006__text_only_v1,dp_longest_common_subsequence_006,text_only_v1,direct_adjudicated,dp_longest_common_subsequence_001
58,ag_058,dp_longest_common_subsequence_006__code_only_v1,dp_longest_common_subsequence_006,code_only_v1,direct_adjudicated,dp_longest_common_subsequence_001
59,ag_059,dp_longest_common_subsequence_006__naive_concat_v1,dp_longest_common_subsequence_006,naive_concat_v1,direct_adjudicated,dp_longest_common_subsequence_001
60,ag_060,dp_longest_common_subsequence_006__full_method_v1,dp_longest_common_subsequence_006,full_method_v1,mapped_from_canonical,dp_longest_common_subsequence_001
61,ag_061,dp_longest_common_subsequence_007__text_only_v1,dp_longest_common_subsequence_007,text_only_v1,direct_adjudicated,dp_longest_common_subsequence_002
62,ag_062,dp_longest_common_subsequence_007__code_only_v1,dp_longest_common_subsequence_007,code_only_v1,mapped_from_canonical,dp_longest_common_subsequence_002
63,ag_063,dp_longest_common_subsequence_007__naive_concat_v1,dp_longest_common_subsequence_007,naive_concat_v1,direct_adjudicated,dp_longest_common_subsequence_002
64,ag_064,dp_longest_common_subsequence_007__full_method_v1,dp_longest_common_subsequence_007,full_method_v1,mapped_from_canonical,dp_longest_common_subsequence_002
65,ag_065,graph_bfs_shortest_path_004__text_only_v1,graph_bfs_shortest_path_004,text_only_v1,direct_adjudicated,graph_bfs_shortest_path_001
66,ag_066,graph_bfs_shortest_path_004__code_only_v1,graph_bfs_shortest_path_004,code_only_v1,direct_adjudicated,graph_bfs_shortest_path_001
67,ag_067,graph_bfs_shortest_path_004__naive_concat_v1,graph_bfs_shortest_path_004,naive_concat_v1,direct_adjudicated,graph_bfs_shortest_path_001
68,ag_068,graph_bfs_shortest_path_004__full_method_v1,graph_bfs_shortest_path_004,full_method_v1,direct_adjudicated,graph_bfs_shortest_path_001
69,ag_069,graph_bfs_shortest_path_005__text_only_v1,graph_bfs_shortest_path_005,text_only_v1,direct_adjudicated,graph_bfs_shortest_path_002
70,ag_070,graph_bfs_shortest_path_005__code_only_v1,graph_bfs_shortest_path_005,code_only_v1,direct_adjudicated,graph_bfs_shortest_path_002
71,ag_071,graph_bfs_shortest_path_005__naive_concat_v1,graph_bfs_shortest_path_005,naive_concat_v1,direct_adjudicated,graph_bfs_shortest_path_002
72,ag_072,graph_bfs_shortest_path_005__full_method_v1,graph_bfs_shortest_path_005,full_method_v1,direct_adjudicated,graph_bfs_shortest_path_002
73,ag_073,graph_bfs_shortest_path_006__text_only_v1,graph_bfs_shortest_path_006,text_only_v1,direct_adjudicated,graph_bfs_shortest_path_001
74,ag_074,graph_bfs_shortest_path_006__code_only_v1,graph_bfs_shortest_path_006,code_only_v1,mapped_from_canonical,graph_bfs_shortest_path_001
75,ag_075,graph_bfs_shortest_path_006__naive_concat_v1,graph_bfs_shortest_path_006,naive_concat_v1,mapped_from_canonical,graph_bfs_shortest_path_001
76,ag_076,graph_bfs_shortest_path_006__full_method_v1,graph_bfs_shortest_path_006,full_method_v1,mapped_from_canonical,graph_bfs_shortest_path_001
77,ag_077,graph_bfs_shortest_path_007__text_only_v1,graph_bfs_shortest_path_007,text_only_v1,direct_adjudicated,graph_bfs_shortest_path_002
78,ag_078,graph_bfs_shortest_path_007__code_only_v1,graph_bfs_shortest_path_007,code_only_v1,mapped_from_canonical,graph_bfs_shortest_path_002
79,ag_079,graph_bfs_shortest_path_007__naive_concat_v1,graph_bfs_shortest_path_007,naive_concat_v1,direct_adjudicated,graph_bfs_shortest_path_002
80,ag_080,graph_bfs_shortest_path_007__full_method_v1,graph_bfs_shortest_path_007,full_method_v1,mapped_from_canonical,graph_bfs_shortest_path_002
81,ag_081,graph_dijkstra_004__text_only_v1,graph_dijkstra_004,text_only_v1,direct_adjudicated,graph_dijkstra_001
82,ag_082,graph_dijkstra_004__code_only_v1,graph_dijkstra_004,code_only_v1,direct_adjudicated,graph_dijkstra_001
83,ag_083,graph_dijkstra_004__naive_concat_v1,graph_dijkstra_004,naive_concat_v1,direct_adjudicated,graph_dijkstra_001
84,ag_084,graph_dijkstra_004__full_method_v1,graph_dijkstra_004,full_method_v1,direct_adjudicated,graph_dijkstra_001
85,ag_085,graph_dijkstra_005__text_only_v1,graph_dijkstra_005,text_only_v1,direct_adjudicated,graph_dijkstra_002
86,ag_086,graph_dijkstra_005__code_only_v1,graph_dijkstra_005,code_only_v1,direct_adjudicated,graph_dijkstra_002
87,ag_087,graph_dijkstra_005__naive_concat_v1,graph_dijkstra_005,naive_concat_v1,direct_adjudicated,graph_dijkstra_002
88,ag_088,graph_dijkstra_005__full_method_v1,graph_dijkstra_005,full_method_v1,direct_adjudicated,graph_dijkstra_002
89,ag_089,graph_dijkstra_006__text_only_v1,graph_dijkstra_006,text_only_v1,direct_adjudicated,graph_dijkstra_001
90,ag_090,graph_dijkstra_006__code_only_v1,graph_dijkstra_006,code_only_v1,direct_adjudicated,graph_dijkstra_001
91,ag_091,graph_dijkstra_006__naive_concat_v1,graph_dijkstra_006,naive_concat_v1,mapped_from_canonical,graph_dijkstra_001
92,ag_092,graph_dijkstra_006__full_method_v1,graph_dijkstra_006,full_method_v1,mapped_from_canonical,graph_dijkstra_001
93,ag_093,graph_dijkstra_007__text_only_v1,graph_dijkstra_007,text_only_v1,mapped_from_canonical,graph_dijkstra_002
94,ag_094,graph_dijkstra_007__code_only_v1,graph_dijkstra_007,code_only_v1,direct_adjudicated,graph_dijkstra_002
95,ag_095,graph_dijkstra_007__naive_concat_v1,graph_dijkstra_007,naive_concat_v1,mapped_from_canonical,graph_dijkstra_002
96,ag_096,graph_dijkstra_007__full_method_v1,graph_dijkstra_007,full_method_v1,mapped_from_canonical,graph_dijkstra_002
97,ag_097,greedy_coin_change_canonical_004__text_only_v1,greedy_coin_change_canonical_004,text_only_v1,direct_adjudicated,greedy_coin_change_canonical_001
98,ag_098,greedy_coin_change_canonical_004__code_only_v1,greedy_coin_change_canonical_004,code_only_v1,direct_adjudicated,greedy_coin_change_canonical_001
