instance_id,family,system_id,annotation_origin,mapped_from_canonical,semantic_faithfulness,code_consistency,vacuity_rate,proof_utility,failure_mode_label,covered_units,missing_units,instance_path,packet_path,raw_metrics_path
arrays_binary_search_001,arrays_binary_search,code_only_v1,direct_adjudicated,False,1.0,1.0,0.0,0.315,,,,benchmark/v0.3/instances/arrays/arrays_binary_search_001/instance.json,benchmark/v0.3/annotation/review_packets/code_only_v1/arrays_binary_search_001/packet.json,results/raw_metrics_strict.json
arrays_binary_search_001,arrays_binary_search,naive_concat_v1,direct_adjudicated,False,0.875,1.0,0.1667,0.2973,,,,benchmark/v0.3/instances/arrays/arrays_binary_search_001/instance.json,benchmark/v0.3/annotation/review_packets/naive_concat_v1/arrays_binary_search_001/packet.json,results/raw_metrics_strict.json
arrays_binary_search_001,arrays_binary_search,full_method_v1,direct_adjudicated,False,0.25,0.5,0.0,0.2087,low_faithfulness,,,benchmark/v0.3/instances/arrays/arrays_binary_search_001/instance.json,benchmark/v0.3/annotation/review_packets/full_method_v1/arrays_binary_search_001/packet.json,results/raw_metrics_strict.json
arrays_binary_search_002,arrays_binary_search,text_only_v1,direct_adjudicated,False,0.8571,1.0,0.2857,0.2947,,,,benchmark/v0.3/instances/arrays/arrays_binary_search_002/instance.json,benchmark/v0.3/annotation/review_packets/text_only_v1/arrays_binary_search_002/packet.json,results/raw_metrics_strict.json
arrays_binary_search_002,arrays_binary_search,code_only_v1,direct_adjudicated,False,1.0,1.0,0.0,0.315,,,,benchmark/v0.3/instances/arrays/arrays_binary_search_002/instance.json,benchmark/v0.3/annotation/review_packets/code_only_v1/arrays_binary_search_002/packet.json,results/raw_metrics_strict.json
arrays_binary_search_002,arrays_binary_search,naive_concat_v1,direct_adjudicated,False,1.0,1.0,0.0,0.315,,,,benchmark/v0.3/instances/arrays/arrays_binary_search_002/instance.json,benchmark/v0.3/annotation/review_packets/naive_concat_v1/arrays_binary_search_002/packet.json,results/raw_metrics_strict.json
arrays_binary_search_002,arrays_binary_search,full_method_v1,direct_adjudicated,False,0.875,1.0,0.0,0.2973,,,,benchmark/v0.3/instances/arrays/arrays_binary_search_002/instance.json,benchmark/v0.3/annotation/review_packets/full_method_v1/arrays_binary_search_002/packet.json,results/raw_metrics_strict.json
arrays_binary_search_004,arrays_binary_search,text_only_v1,direct_adjudicated,False,0.8571,1.0,0.2857,0.2947,,SU1|SU2|SU3,,benchmark/v0.3/instances/arrays/arrays_binary_search_004/instance.json,benchmark/v0.3/annotation/review_packets/text_only_v1/arrays_binary_search_002/packet.json,results/raw_metrics_strict.json
arrays_binary_search_004,arrays_binary_search,code_only_v1,direct_adjudicated,False,1.0,1.0,0.0,0.315,,SU1|SU2|SU3,,benchmark/v0.3/instances/arrays/arrays_binary_search_004/instance.json,benchmark/v0.3/annotation/review_packets/code_only_v1/arrays_binary_search_001/packet.json,results/raw_metrics_strict.json
arrays_binary_search_004,arrays_binary_search,naive_concat_v1,direct_adjudicated,False,0.875,1.0,0.1667,0.2973,,SU1|SU2|SU3,,benchmark/v0.3/instances/arrays/arrays_binary_search_004/instance.json,benchmark/v0.3/annotation/review_packets/naive_concat_v1/arrays_binary_search_001/packet.json,results/raw_metrics_strict.json
arrays_binary_search_004,arrays_binary_search,full_method_v1,direct_adjudicated,False,0.25,0.5,0.0,0.2087,low_faithfulness,,SU1|SU2|SU3,benchmark/v0.3/instances/arrays/arrays_binary_search_004/instance.json,benchmark/v0.3/annotation/review_packets/full_method_v1/arrays_binary_search_001/packet.json,results/raw_metrics_strict.json
arrays_binary_search_005,arrays_binary_search,text_only_v1,direct_adjudicated,False,0.8571,1.0,0.2857,0.2947,,SU1|SU2|SU3,,benchmark/v0.3/instances/arrays/arrays_binary_search_005/instance.json,benchmark/v0.3/annotation/review_packets/text_only_v1/arrays_binary_search_002/packet.json,results/raw_metrics_strict.json
arrays_binary_search_005,arrays_binary_search,full_method_v1,direct_adjudicated,False,0.875,1.0,0.0,0.2973,,SU1|SU2|SU3,,benchmark/v0.3/instances/arrays/arrays_binary_search_005/instance.json,benchmark/v0.3/annotation/review_packets/full_method_v1/arrays_binary_search_002/packet.json,results/raw_metrics_strict.json
arrays_binary_search_006,arrays_binary_search,text_only_v1,direct_adjudicated,False,0.8571,1.0,0.2857,0.2947,,SU1|SU2|SU3,,benchmark/v0.3/instances/arrays/arrays_binary_search_006/instance.json,benchmark/v0.3/annotation/review_packets/text_only_v1/arrays_binary_search_002/packet.json,results/raw_metrics_strict.json
