anonymized_packet_key,metric,rater_a,rater_b_human,adjudicated_resolution,resolution_note
ag_008,proof_utility,2,1,2,retain primary adjudicator label for ordinal metrics
ag_010,semantic_faithfulness,4,3,4,retain primary adjudicator label for ordinal metrics
ag_012,proof_utility,1,2,1,retain primary adjudicator label for ordinal metrics
ag_013,proof_utility,2,1,2,retain primary adjudicator label for ordinal metrics
ag_024,coverage_label,full,partial,full,retain primary adjudicator label for ordinal metrics
ag_027,proof_utility,2,3,2,retain primary adjudicator label for ordinal metrics
ag_032,proof_utility,2,1,2,retain primary adjudicator label for ordinal metrics
ag_043,proof_utility,3,4,3,retain primary adjudicator label for ordinal metrics
ag_049,proof_utility,2,3,2,retain primary adjudicator label for ordinal metrics
ag_051,code_consistency,4,3,4,retain primary adjudicator label for ordinal metrics
ag_052,proof_utility,1,2,1,retain primary adjudicator label for ordinal metrics
ag_053,proof_utility,2,3,2,retain primary adjudicator label for ordinal metrics
ag_055,proof_utility,2,1,2,retain primary adjudicator label for ordinal metrics
ag_059,proof_utility,2,1,2,retain primary adjudicator label for ordinal metrics
ag_064,coverage_label,failed,partial,failed,retain primary adjudicator label for ordinal metrics
ag_066,semantic_faithfulness,4,3,4,retain primary adjudicator label for ordinal metrics
ag_066,vacuity_label,non_vacuous,vacuous,vacuous,retain primary adjudicator label for ordinal metrics
ag_069,proof_utility,2,3,2,retain primary adjudicator label for ordinal metrics
ag_073,semantic_faithfulness,3,4,3,retain primary adjudicator label for ordinal metrics
ag_073,proof_utility,2,3,2,retain primary adjudicator label for ordinal metrics
ag_078,code_consistency,4,3,4,retain primary adjudicator label for ordinal metrics
ag_079,semantic_faithfulness,3,4,3,retain primary adjudicator label for ordinal metrics
ag_081,vacuity_label,non_vacuous,vacuous,vacuous,retain primary adjudicator label for ordinal metrics
ag_083,vacuity_label,non_vacuous,vacuous,vacuous,retain primary adjudicator label for ordinal metrics
ag_091,proof_utility,3,2,3,retain primary adjudicator label for ordinal metrics
ag_097,code_consistency,3,2,3,retain primary adjudicator label for ordinal metrics
ag_099,proof_utility,1,2,1,retain primary adjudicator label for ordinal metrics
ag_100,semantic_faithfulness,4,3,4,retain primary adjudicator label for ordinal metrics
ag_100,proof_utility,2,1,2,retain primary adjudicator label for ordinal metrics
ag_108,proof_utility,2,1,2,retain primary adjudicator label for ordinal metrics
ag_109,proof_utility,2,3,2,retain primary adjudicator label for ordinal metrics
ag_110,proof_utility,2,1,2,retain primary adjudicator label for ordinal metrics
ag_110,vacuity_label,non_vacuous,vacuous,vacuous,retain primary adjudicator label for ordinal metrics
ag_115,proof_utility,2,1,2,retain primary adjudicator label for ordinal metrics
ag_117,proof_utility,2,1,2,retain primary adjudicator label for ordinal metrics
ag_118,semantic_faithfulness,3,4,3,retain primary adjudicator label for ordinal metrics
ag_127,proof_utility,2,3,2,retain primary adjudicator label for ordinal metrics
ag_129,coverage_label,partial,failed,partial,retain primary adjudicator label for ordinal metrics
ag_129,vacuity_label,non_vacuous,vacuous,vacuous,retain primary adjudicator label for ordinal metrics
ag_136,code_consistency,4,3,4,retain primary adjudicator label for ordinal metrics
ag_137,code_consistency,4,3,4,retain primary adjudicator label for ordinal metrics
ag_137,proof_utility,2,1,2,retain primary adjudicator label for ordinal metrics
ag_141,coverage_label,partial,failed,partial,retain primary adjudicator label for ordinal metrics
ag_145,code_consistency,4,3,4,retain primary adjudicator label for ordinal metrics
ag_154,vacuity_label,non_vacuous,vacuous,vacuous,retain primary adjudicator label for ordinal metrics
ag_159,proof_utility,2,3,2,retain primary adjudicator label for ordinal metrics
ag_160,coverage_label,full,partial,full,retain primary adjudicator label for ordinal metrics
ag_168,proof_utility,3,4,3,retain primary adjudicator label for ordinal metrics
ag_168,vacuity_label,non_vacuous,vacuous,vacuous,retain primary adjudicator label for ordinal metrics
ag_171,vacuity_label,non_vacuous,vacuous,vacuous,retain primary adjudicator label for ordinal metrics
ag_172,coverage_label,full,partial,full,retain primary adjudicator label for ordinal metrics
ag_177,proof_utility,2,3,2,retain primary adjudicator label for ordinal metrics
ag_181,proof_utility,1,2,1,retain primary adjudicator label for ordinal metrics
ag_188,code_consistency,4,3,4,retain primary adjudicator label for ordinal metrics
ag_190,semantic_faithfulness,4,3,4,retain primary adjudicator label for ordinal metrics
ag_190,coverage_label,full,partial,full,retain primary adjudicator label for ordinal metrics
ag_192,semantic_faithfulness,3,2,3,retain primary adjudicator label for ordinal metrics
