packet_id,selected_for_repair_budget,annotation_origin,pre_repair_failure_type,elaborated,admit_count,axiom_count,proof_mode,imported_modules,outcome_summary
hp_arrays_binary_search_004__code_only_v1,false,mapped_from_canonical,routine_eval_obligation_hygiene,false,0,0,definition_backed,import CTA.Core.Prelude; import CTA.Core.Types; import CTA.Core.Util; import CTA.Core.Checkers; import CTA.Benchmark.Arrays.BinarySearchTheory,not_selected
hp_arrays_binary_search_004__full_method_v1,false,mapped_from_canonical,routine_eval_obligation_hygiene,false,0,0,definition_backed,import CTA.Core.Prelude; import CTA.Core.Types; import CTA.Core.Util; import CTA.Core.Checkers; import CTA.Benchmark.Arrays.BinarySearchTheory,not_selected
hp_arrays_binary_search_004__naive_concat_v1,false,mapped_from_canonical,routine_eval_obligation_hygiene,false,0,0,definition_backed,import CTA.Core.Prelude; import CTA.Core.Types; import CTA.Core.Util; import CTA.Core.Checkers; import CTA.Benchmark.Arrays.BinarySearchTheory,not_selected
hp_arrays_binary_search_004__text_only_v1,false,mapped_from_canonical,routine_eval_obligation_hygiene,false,0,0,definition_backed,import CTA.Core.Prelude; import CTA.Core.Types; import CTA.Core.Util; import CTA.Core.Checkers; import CTA.Benchmark.Arrays.BinarySearchTheory,not_selected
hp_arrays_binary_search_005__code_only_v1,false,mapped_from_canonical,routine_eval_obligation_hygiene,false,0,0,definition_backed,import CTA.Core.Prelude; import CTA.Core.Types; import CTA.Core.Util; import CTA.Core.Checkers; import CTA.Benchmark.Arrays.BinarySearchTheory,not_selected
hp_arrays_binary_search_005__full_method_v1,false,mapped_from_canonical,routine_eval_obligation_hygiene,false,0,0,definition_backed,import CTA.Core.Prelude; import CTA.Core.Types; import CTA.Core.Util; import CTA.Core.Checkers; import CTA.Benchmark.Arrays.BinarySearchTheory,not_selected
hp_arrays_binary_search_005__naive_concat_v1,false,mapped_from_canonical,routine_eval_obligation_hygiene,false,0,0,definition_backed,import CTA.Core.Prelude; import CTA.Core.Types; import CTA.Core.Util; import CTA.Core.Checkers; import CTA.Benchmark.Arrays.BinarySearchTheory,not_selected
hp_arrays_binary_search_005__text_only_v1,false,mapped_from_canonical,routine_eval_obligation_hygiene,false,0,0,definition_backed,import CTA.Core.Prelude; import CTA.Core.Types; import CTA.Core.Util; import CTA.Core.Checkers; import CTA.Benchmark.Arrays.BinarySearchTheory,not_selected
hp_arrays_binary_search_006__code_only_v1,false,mapped_from_canonical,routine_eval_obligation_hygiene,false,0,0,definition_backed,import CTA.Core.Prelude; import CTA.Core.Types; import CTA.Core.Util; import CTA.Core.Checkers; import CTA.Benchmark.Arrays.BinarySearchTheory,not_selected
hp_arrays_binary_search_006__full_method_v1,false,mapped_from_canonical,routine_eval_obligation_hygiene,false,0,0,definition_backed,import CTA.Core.Prelude; import CTA.Core.Types; import CTA.Core.Util; import CTA.Core.Checkers; import CTA.Benchmark.Arrays.BinarySearchTheory,not_selected
hp_arrays_binary_search_006__naive_concat_v1,false,mapped_from_canonical,routine_eval_obligation_hygiene,false,0,0,definition_backed,import CTA.Core.Prelude; import CTA.Core.Types; import CTA.Core.Util; import CTA.Core.Checkers; import CTA.Benchmark.Arrays.BinarySearchTheory,not_selected
hp_arrays_binary_search_006__text_only_v1,false,mapped_from_canonical,routine_eval_obligation_hygiene,false,0,0,definition_backed,import CTA.Core.Prelude; import CTA.Core.Types; import CTA.Core.Util; import CTA.Core.Checkers; import CTA.Benchmark.Arrays.BinarySearchTheory,not_selected
hp_arrays_binary_search_007__code_only_v1,false,mapped_from_canonical,routine_eval_obligation_hygiene,false,0,0,definition_backed,import CTA.Core.Prelude; import CTA.Core.Types; import CTA.Core.Util; import CTA.Core.Checkers; import CTA.Benchmark.Arrays.BinarySearchTheory,not_selected
hp_arrays_binary_search_007__full_method_v1,false,mapped_from_canonical,routine_eval_obligation_hygiene,false,0,0,definition_backed,import CTA.Core.Prelude; import CTA.Core.Types; import CTA.Core.Util; import CTA.Core.Checkers; import CTA.Benchmark.Arrays.BinarySearchTheory,not_selected
hp_arrays_binary_search_007__naive_concat_v1,false,mapped_from_canonical,routine_eval_obligation_hygiene,false,0,0,definition_backed,import CTA.Core.Prelude; import CTA.Core.Types; import CTA.Core.Util; import CTA.Core.Checkers; import CTA.Benchmark.Arrays.BinarySearchTheory,not_selected
hp_arrays_binary_search_007__text_only_v1,false,mapped_from_canonical,routine_eval_obligation_hygiene,false,0,0,definition_backed,import CTA.Core.Prelude; import CTA.Core.Types; import CTA.Core.Util; import CTA.Core.Checkers; import CTA.Benchmark.Arrays.BinarySearchTheory,not_selected
hp_arrays_max_subarray_004__code_only_v1,false,mapped_from_canonical,routine_eval_obligation_hygiene,false,0,0,definition_backed,import CTA.Core.Prelude; import CTA.Core.Types; import CTA.Core.Util; import CTA.Benchmark.Arrays.MaxSubarrayTheory,not_selected
hp_arrays_max_subarray_004__full_method_v1,false,mapped_from_canonical,routine_eval_obligation_hygiene,false,0,0,definition_backed,import CTA.Core.Prelude; import CTA.Core.Types; import CTA.Core.Util; import CTA.Benchmark.Arrays.MaxSubarrayTheory,not_selected
hp_arrays_max_subarray_004__naive_concat_v1,false,mapped_from_canonical,missing_critical_semantic_unit,false,0,0,definition_backed,import CTA.Core.Prelude; import CTA.Core.Types; import CTA.Core.Util; import CTA.Benchmark.Arrays.MaxSubarrayTheory,not_selected
hp_arrays_max_subarray_004__text_only_v1,false,mapped_from_canonical,missing_critical_semantic_unit,false,0,0,definition_backed,import CTA.Core.Prelude; import CTA.Core.Types; import CTA.Core.Util; import CTA.Benchmark.Arrays.MaxSubarrayTheory,not_selected
hp_arrays_max_subarray_005__code_only_v1,false,mapped_from_canonical,routine_eval_obligation_hygiene,false,0,0,definition_backed,import CTA.Core.Prelude; import CTA.Core.Types; import CTA.Core.Util; import CTA.Benchmark.Arrays.MaxSubarrayTheory,not_selected
hp_arrays_max_subarray_005__full_method_v1,false,mapped_from_canonical,routine_eval_obligation_hygiene,false,0,0,definition_backed,import CTA.Core.Prelude; import CTA.Core.Types; import CTA.Core.Util; import CTA.Benchmark.Arrays.MaxSubarrayTheory,not_selected
hp_arrays_max_subarray_005__naive_concat_v1,true,mapped_from_canonical,low_semantic_faithfulness;missing_critical_semantic_unit,false,0,0,definition_backed,import CTA.Core.Prelude; import CTA.Core.Types; import CTA.Core.Util; import CTA.Benchmark.Arrays.MaxSubarrayTheory,repaired_scaffold_alignment
hp_arrays_max_subarray_005__text_only_v1,false,mapped_from_canonical,missing_critical_semantic_unit,false,0,0,definition_backed,import CTA.Core.Prelude; import CTA.Core.Types; import CTA.Core.Util; import CTA.Benchmark.Arrays.MaxSubarrayTheory,not_selected
hp_arrays_max_subarray_006__code_only_v1,false,mapped_from_canonical,routine_eval_obligation_hygiene,false,0,0,definition_backed,import CTA.Core.Prelude; import CTA.Core.Types; import CTA.Core.Util; import CTA.Benchmark.Arrays.MaxSubarrayTheory,not_selected
hp_arrays_max_subarray_006__full_method_v1,false,mapped_from_canonical,routine_eval_obligation_hygiene,false,0,0,definition_backed,import CTA.Core.Prelude; import CTA.Core.Types; import CTA.Core.Util; import CTA.Benchmark.Arrays.MaxSubarrayTheory,not_selected
hp_arrays_max_subarray_006__naive_concat_v1,false,mapped_from_canonical,missing_critical_semantic_unit,false,0,0,definition_backed,import CTA.Core.Prelude; import CTA.Core.Types; import CTA.Core.Util; import CTA.Benchmark.Arrays.MaxSubarrayTheory,not_selected
hp_arrays_max_subarray_006__text_only_v1,false,mapped_from_canonical,missing_critical_semantic_unit,false,0,0,definition_backed,import CTA.Core.Prelude; import CTA.Core.Types; import CTA.Core.Util; import CTA.Benchmark.Arrays.MaxSubarrayTheory,not_selected
hp_arrays_max_subarray_007__code_only_v1,false,mapped_from_canonical,routine_eval_obligation_hygiene,false,0,0,definition_backed,import CTA.Core.Prelude; import CTA.Core.Types; import CTA.Core.Util; import CTA.Benchmark.Arrays.MaxSubarrayTheory,not_selected
hp_arrays_max_subarray_007__full_method_v1,false,mapped_from_canonical,routine_eval_obligation_hygiene,false,0,0,definition_backed,import CTA.Core.Prelude; import CTA.Core.Types; import CTA.Core.Util; import CTA.Benchmark.Arrays.MaxSubarrayTheory,not_selected
