w_faithfulness,w_code,w_proof,system,composite_mean,source_mode
0.5,0.25,0.25,code_only_v1,0.7892,raw_metrics
0.5,0.25,0.25,full_method_v1,0.8200,raw_metrics
0.5,0.25,0.25,naive_concat_v1,0.7199,raw_metrics
0.5,0.25,0.25,text_only_v1,0.6898,raw_metrics
0.4,0.3,0.3,code_only_v1,0.7684,raw_metrics
0.4,0.3,0.3,full_method_v1,0.8122,raw_metrics
0.4,0.3,0.3,naive_concat_v1,0.7092,raw_metrics
0.4,0.3,0.3,text_only_v1,0.6843,raw_metrics
0.34,0.33,0.33,code_only_v1,0.7559,raw_metrics
0.34,0.33,0.33,full_method_v1,0.8075,raw_metrics
0.34,0.33,0.33,naive_concat_v1,0.7028,raw_metrics
0.34,0.33,0.33,text_only_v1,0.6810,raw_metrics
0.6,0.2,0.2,code_only_v1,0.8100,raw_metrics
0.6,0.2,0.2,full_method_v1,0.8278,raw_metrics
0.6,0.2,0.2,naive_concat_v1,0.7307,raw_metrics
0.6,0.2,0.2,text_only_v1,0.6953,raw_metrics
