family,domain,system,mean,sd,median,iqr,bootstrap_ci95_low,bootstrap_ci95_high,n,aggregate_metric
arrays_binary_search,arrays,code_only_v1,0.3150,0.0000,0.3150,0.0000,0.3150,0.3150,7,proof_utility_mean
arrays_binary_search,arrays,full_method_v1,0.2973,0.0000,0.2973,0.0000,0.2973,0.2973,7,proof_utility_mean
arrays_binary_search,arrays,naive_concat_v1,0.3049,0.0095,0.2973,0.0177,0.2998,0.3099,7,proof_utility_mean
arrays_binary_search,arrays,text_only_v1,0.2947,0.0000,0.2947,0.0000,0.2947,0.2947,7,proof_utility_mean
arrays_max_subarray,arrays,code_only_v1,0.3150,0.0000,0.3150,0.0000,0.3150,0.3150,7,proof_utility_mean
arrays_max_subarray,arrays,full_method_v1,0.3008,0.0000,0.3008,0.0000,0.3008,0.3008,7,proof_utility_mean
arrays_max_subarray,arrays,naive_concat_v1,0.2690,0.0172,0.2828,0.0322,0.2552,0.2782,7,proof_utility_mean
arrays_max_subarray,arrays,text_only_v1,0.2861,0.0270,0.2644,0.0506,0.2716,0.3078,7,proof_utility_mean
dp_knapsack_01,dp,code_only_v1,0.7076,0.0000,0.7076,0.0000,0.7076,0.7076,7,proof_utility_mean
dp_knapsack_01,dp,full_method_v1,0.7076,0.0000,0.7076,0.0000,0.7076,0.7076,7,proof_utility_mean
dp_knapsack_01,dp,naive_concat_v1,0.7076,0.0000,0.7076,0.0000,0.7076,0.7076,7,proof_utility_mean
dp_knapsack_01,dp,text_only_v1,0.7076,0.0000,0.7076,0.0000,0.7076,0.7076,7,proof_utility_mean
dp_longest_common_subsequence,dp,code_only_v1,0.2948,0.0189,0.2796,0.0354,0.2847,0.3099,7,proof_utility_mean
dp_longest_common_subsequence,dp,full_method_v1,0.2084,0.0085,0.2016,0.0159,0.2039,0.2152,7,proof_utility_mean
dp_longest_common_subsequence,dp,naive_concat_v1,0.2545,0.0031,0.2570,0.0058,0.2520,0.2570,7,proof_utility_mean
dp_longest_common_subsequence,dp,text_only_v1,0.2524,0.0005,0.2520,0.0010,0.2521,0.2529,7,proof_utility_mean
graph_bfs_shortest_path,graph,code_only_v1,0.3150,0.0000,0.3150,0.0000,0.3150,0.3150,7,proof_utility_mean
