system,family,failure_mode,count
code_only_v1,arrays_binary_search,low_faithfulness,7
code_only_v1,arrays_max_subarray,low_faithfulness,7
code_only_v1,dp_knapsack_01,low_faithfulness,7
code_only_v1,dp_longest_common_subsequence,low_faithfulness,7
code_only_v1,graph_bfs_shortest_path,low_faithfulness,7
code_only_v1,graph_dijkstra,low_faithfulness,7
code_only_v1,greedy_coin_change_canonical,low_faithfulness,7
code_only_v1,greedy_interval_scheduling,low_faithfulness,7
code_only_v1,sorting_insertion_sort,low_faithfulness,7
code_only_v1,sorting_merge_sort,low_faithfulness,7
code_only_v1,trees_bst_insert,low_faithfulness,7
code_only_v1,trees_lowest_common_ancestor,low_faithfulness,7
naive_concat_v1,arrays_binary_search,low_faithfulness,2
naive_concat_v1,graph_dijkstra,low_faithfulness,2
naive_concat_v1,greedy_interval_scheduling,low_faithfulness,1
naive_concat_v1,sorting_merge_sort,low_faithfulness,4
