family,domain,system,mean,sd,median,iqr,bootstrap_ci95_low,bootstrap_ci95_high,n,aggregate_metric
arrays_binary_search,arrays,code_only_v1,1.0000,0.0000,1.0000,0.0000,1.0000,1.0000,4,code_consistency_mean
arrays_binary_search,arrays,full_method_v1,0.7143,0.2673,0.5000,0.5000,0.5714,0.9286,7,code_consistency_mean
arrays_binary_search,arrays,naive_concat_v1,1.0000,0.0000,1.0000,0.0000,1.0000,1.0000,5,code_consistency_mean
arrays_binary_search,arrays,text_only_v1,1.0000,0.0000,1.0000,0.0000,1.0000,1.0000,6,code_consistency_mean
arrays_max_subarray,arrays,code_only_v1,1.0000,0.0000,1.0000,0.0000,1.0000,1.0000,3,code_consistency_mean
arrays_max_subarray,arrays,full_method_v1,1.0000,0.0000,1.0000,0.0000,1.0000,1.0000,6,code_consistency_mean
arrays_max_subarray,arrays,naive_concat_v1,1.0000,0.0000,1.0000,0.0000,1.0000,1.0000,7,code_consistency_mean
arrays_max_subarray,arrays,text_only_v1,1.0000,0.0000,1.0000,0.0000,1.0000,1.0000,7,code_consistency_mean
dp_knapsack_01,dp,code_only_v1,1.0000,0.0000,1.0000,0.0000,1.0000,1.0000,7,code_consistency_mean
dp_knapsack_01,dp,full_method_v1,1.0000,0.0000,1.0000,0.0000,1.0000,1.0000,6,code_consistency_mean
dp_knapsack_01,dp,naive_concat_v1,1.0000,0.0000,1.0000,0.0000,1.0000,1.0000,7,code_consistency_mean
dp_knapsack_01,dp,text_only_v1,1.0000,0.0000,1.0000,0.0000,1.0000,1.0000,7,code_consistency_mean
dp_longest_common_subsequence,dp,code_only_v1,1.0000,0.0000,1.0000,0.0000,1.0000,1.0000,5,code_consistency_mean
dp_longest_common_subsequence,dp,full_method_v1,0.5536,0.1072,0.5000,0.0536,0.5000,0.6607,4,code_consistency_mean
dp_longest_common_subsequence,dp,naive_concat_v1,1.0000,0.0000,1.0000,0.0000,1.0000,1.0000,7,code_consistency_mean
dp_longest_common_subsequence,dp,text_only_v1,1.0000,0.0000,1.0000,0.0000,1.0000,1.0000,7,code_consistency_mean
graph_bfs_shortest_path,graph,code_only_v1,1.0000,0.0000,1.0000,0.0000,1.0000,1.0000,5,code_consistency_mean
graph_bfs_shortest_path,graph,full_method_v1,1.0000,0.0000,1.0000,0.0000,1.0000,1.0000,5,code_consistency_mean
graph_bfs_shortest_path,graph,naive_concat_v1,1.0000,0.0000,1.0000,0.0000,1.0000,1.0000,6,code_consistency_mean
graph_bfs_shortest_path,graph,text_only_v1,1.0000,0.0000,1.0000,0.0000,1.0000,1.0000,7,code_consistency_mean
graph_dijkstra,graph,code_only_v1,1.0000,0.0000,1.0000,0.0000,1.0000,1.0000,7,code_consistency_mean
graph_dijkstra,graph,full_method_v1,1.0000,0.0000,1.0000,0.0000,1.0000,1.0000,5,code_consistency_mean
graph_dijkstra,graph,naive_concat_v1,1.0000,0.0000,1.0000,0.0000,1.0000,1.0000,5,code_consistency_mean
graph_dijkstra,graph,text_only_v1,1.0000,0.0000,1.0000,0.0000,1.0000,1.0000,6,code_consistency_mean
greedy_coin_change_canonical,greedy,code_only_v1,1.0000,0.0000,1.0000,0.0000,1.0000,1.0000,5,code_consistency_mean
greedy_coin_change_canonical,greedy,full_method_v1,1.0000,0.0000,1.0000,0.0000,1.0000,1.0000,4,code_consistency_mean
greedy_coin_change_canonical,greedy,naive_concat_v1,0.7429,0.2405,0.5500,0.4500,0.6143,0.9357,7,code_consistency_mean
greedy_coin_change_canonical,greedy,text_only_v1,0.7429,0.2405,0.5500,0.4500,0.5500,0.9357,7,code_consistency_mean
greedy_interval_scheduling,greedy,code_only_v1,1.0000,0.0000,1.0000,0.0000,1.0000,1.0000,7,code_consistency_mean
greedy_interval_scheduling,greedy,full_method_v1,1.0000,0.0000,1.0000,0.0000,1.0000,1.0000,4,code_consistency_mean
greedy_interval_scheduling,greedy,naive_concat_v1,1.0000,0.0000,1.0000,0.0000,1.0000,1.0000,5,code_consistency_mean
greedy_interval_scheduling,greedy,text_only_v1,1.0000,0.0000,1.0000,0.0000,1.0000,1.0000,7,code_consistency_mean
sorting_insertion_sort,sorting,code_only_v1,1.0000,0.0000,1.0000,0.0000,1.0000,1.0000,4,code_consistency_mean
sorting_insertion_sort,sorting,full_method_v1,1.0000,0.0000,1.0000,0.0000,1.0000,1.0000,4,code_consistency_mean
sorting_insertion_sort,sorting,naive_concat_v1,1.0000,0.0000,1.0000,0.0000,1.0000,1.0000,7,code_consistency_mean
sorting_insertion_sort,sorting,text_only_v1,1.0000,0.0000,1.0000,0.0000,1.0000,1.0000,6,code_consistency_mean
sorting_merge_sort,sorting,code_only_v1,1.0000,0.0000,1.0000,0.0000,1.0000,1.0000,5,code_consistency_mean
sorting_merge_sort,sorting,full_method_v1,1.0000,0.0000,1.0000,0.0000,1.0000,1.0000,4,code_consistency_mean
sorting_merge_sort,sorting,naive_concat_v1,1.0000,0.0000,1.0000,0.0000,1.0000,1.0000,6,code_consistency_mean
sorting_merge_sort,sorting,text_only_v1,1.0000,0.0000,1.0000,0.0000,1.0000,1.0000,7,code_consistency_mean
