family,domain,system,mean,sd,median,iqr,bootstrap_ci95_low,bootstrap_ci95_high,n,aggregate_metric
arrays_binary_search,arrays,code_only_v1,1.0000,0.0000,1.0000,0.0000,1.0000,1.0000,3,faithfulness_mean
arrays_binary_search,arrays,full_method_v1,0.5625,0.3423,0.5625,0.6250,0.3542,0.7708,6,faithfulness_mean
arrays_binary_search,arrays,naive_concat_v1,0.9062,0.0625,0.8750,0.0312,0.8750,0.9688,4,faithfulness_mean
arrays_binary_search,arrays,text_only_v1,0.8571,0.0000,0.8571,0.0000,0.8571,0.8571,5,faithfulness_mean
arrays_max_subarray,arrays,code_only_v1,1.0000,0.0000,1.0000,0.0000,1.0000,1.0000,2,faithfulness_mean
arrays_max_subarray,arrays,full_method_v1,0.9000,0.0000,0.9000,0.0000,0.9000,0.9000,5,faithfulness_mean
arrays_max_subarray,arrays,naive_concat_v1,0.6591,0.1244,0.6591,0.2272,0.5834,0.7348,6,faithfulness_mean
arrays_max_subarray,arrays,text_only_v1,0.8215,0.1956,0.8215,0.3571,0.7024,0.9405,6,faithfulness_mean
dp_knapsack_01,dp,code_only_v1,0.8333,0.0000,0.8333,0.0000,0.8333,0.8333,5,faithfulness_mean
dp_knapsack_01,dp,full_method_v1,0.8333,0.0000,0.8333,0.0000,0.8333,0.8333,4,faithfulness_mean
dp_knapsack_01,dp,naive_concat_v1,0.8333,0.0000,0.8333,0.0000,0.8333,0.8333,5,faithfulness_mean
dp_knapsack_01,dp,text_only_v1,0.8333,0.0000,0.8333,0.0000,0.8333,0.8333,5,faithfulness_mean
dp_longest_common_subsequence,dp,code_only_v1,0.8125,0.1250,0.7500,0.0625,0.7500,0.9375,4,faithfulness_mean
dp_longest_common_subsequence,dp,full_method_v1,0.2375,0.0650,0.2000,0.0562,0.2000,0.3125,3,faithfulness_mean
dp_longest_common_subsequence,dp,naive_concat_v1,0.5705,0.0224,0.5705,0.0409,0.5568,0.5841,6,faithfulness_mean
