family,domain,system,mean,sd,median,iqr,bootstrap_ci95_low,bootstrap_ci95_high,n,aggregate_metric
arrays_binary_search,arrays,code_only_v1,0.3150,0.0000,0.3150,0.0000,0.3150,0.3150,3,proof_utility_mean
arrays_binary_search,arrays,full_method_v1,0.2973,0.0000,0.2973,0.0000,0.2973,0.2973,6,proof_utility_mean
arrays_binary_search,arrays,naive_concat_v1,0.3017,0.0088,0.2973,0.0044,0.2973,0.3106,4,proof_utility_mean
arrays_binary_search,arrays,text_only_v1,0.2947,0.0000,0.2947,0.0000,0.2947,0.2947,5,proof_utility_mean
arrays_max_subarray,arrays,code_only_v1,0.3150,0.0000,0.3150,0.0000,0.3150,0.3150,2,proof_utility_mean
arrays_max_subarray,arrays,full_method_v1,0.3008,0.0000,0.3008,0.0000,0.3008,0.3008,5,proof_utility_mean
arrays_max_subarray,arrays,naive_concat_v1,0.2667,0.0176,0.2667,0.0322,0.2560,0.2774,6,proof_utility_mean
arrays_max_subarray,arrays,text_only_v1,0.2897,0.0277,0.2897,0.0506,0.2728,0.3066,6,proof_utility_mean
dp_knapsack_01,dp,code_only_v1,0.7076,0.0000,0.7076,0.0000,0.7076,0.7076,5,proof_utility_mean
dp_knapsack_01,dp,full_method_v1,0.7076,0.0000,0.7076,0.0000,0.7076,0.7076,4,proof_utility_mean
dp_knapsack_01,dp,naive_concat_v1,0.7076,0.0000,0.7076,0.0000,0.7076,0.7076,5,proof_utility_mean
dp_knapsack_01,dp,text_only_v1,0.7076,0.0000,0.7076,0.0000,0.7076,0.7076,5,proof_utility_mean
dp_longest_common_subsequence,dp,code_only_v1,0.2884,0.0177,0.2796,0.0088,0.2796,0.3062,4,proof_utility_mean
dp_longest_common_subsequence,dp,full_method_v1,0.2069,0.0092,0.2016,0.0080,0.2016,0.2175,3,proof_utility_mean
dp_longest_common_subsequence,dp,naive_concat_v1,0.2541,0.0032,0.2541,0.0058,0.2522,0.2560,6,proof_utility_mean
dp_longest_common_subsequence,dp,text_only_v1,0.2525,0.0005,0.2525,0.0010,0.2522,0.2528,6,proof_utility_mean
graph_bfs_shortest_path,graph,code_only_v1,0.3150,0.0000,0.3150,0.0000,0.3150,0.3150,4,proof_utility_mean
graph_bfs_shortest_path,graph,full_method_v1,0.5400,0.2598,0.5400,0.4500,0.3150,0.7650,4,proof_utility_mean
graph_bfs_shortest_path,graph,naive_concat_v1,0.2895,0.0233,0.2725,0.0425,0.2725,0.3065,5,proof_utility_mean
graph_bfs_shortest_path,graph,text_only_v1,0.2609,0.0074,0.2610,0.0135,0.2565,0.2655,6,proof_utility_mean
graph_dijkstra,graph,code_only_v1,0.7363,0.0000,0.7363,0.0000,0.7363,0.7363,6,proof_utility_mean
graph_dijkstra,graph,full_method_v1,0.7404,0.0000,0.7404,0.0000,0.7404,0.7404,4,proof_utility_mean
graph_dijkstra,graph,naive_concat_v1,0.7404,0.0000,0.7404,0.0000,0.7404,0.7404,4,proof_utility_mean
graph_dijkstra,graph,text_only_v1,0.7404,0.0000,0.7404,0.0000,0.7404,0.7404,5,proof_utility_mean
greedy_coin_change_canonical,greedy,code_only_v1,0.2796,0.0000,0.2796,0.0000,0.2796,0.2796,4,proof_utility_mean
greedy_coin_change_canonical,greedy,full_method_v1,0.5482,0.2264,0.6789,0.1961,0.2867,0.6789,3,proof_utility_mean
greedy_coin_change_canonical,greedy,naive_concat_v1,0.2500,0.0065,0.2500,0.0118,0.2461,0.2539,6,proof_utility_mean
greedy_coin_change_canonical,greedy,text_only_v1,0.2491,0.0055,0.2491,0.0101,0.2458,0.2525,6,proof_utility_mean
greedy_interval_scheduling,greedy,code_only_v1,0.2796,0.0000,0.2796,0.0000,0.2796,0.2796,6,proof_utility_mean
greedy_interval_scheduling,greedy,full_method_v1,0.6847,0.0100,0.6789,0.0087,0.6789,0.6962,3,proof_utility_mean
greedy_interval_scheduling,greedy,naive_concat_v1,0.2645,0.0219,0.2536,0.0109,0.2536,0.2864,4,proof_utility_mean
greedy_interval_scheduling,greedy,text_only_v1,0.2506,0.0000,0.2506,0.0000,0.2506,0.2506,6,proof_utility_mean
sorting_insertion_sort,sorting,code_only_v1,0.2914,0.0000,0.2914,0.0000,0.2914,0.2914,3,proof_utility_mean
sorting_insertion_sort,sorting,full_method_v1,0.7076,0.0000,0.7076,0.0000,0.7076,0.7076,3,proof_utility_mean
sorting_insertion_sort,sorting,naive_concat_v1,0.2863,0.0031,0.2863,0.0057,0.2844,0.2883,6,proof_utility_mean
sorting_insertion_sort,sorting,text_only_v1,0.3150,0.0000,0.3150,0.0000,0.3150,0.3150,5,proof_utility_mean
sorting_merge_sort,sorting,code_only_v1,0.3150,0.0000,0.3150,0.0000,0.3150,0.3150,4,proof_utility_mean
sorting_merge_sort,sorting,full_method_v1,0.7650,0.0000,0.7650,0.0000,0.7650,0.7650,3,proof_utility_mean
sorting_merge_sort,sorting,naive_concat_v1,0.3112,0.0035,0.3086,0.0064,0.3086,0.3137,5,proof_utility_mean
sorting_merge_sort,sorting,text_only_v1,0.2855,0.0324,0.2854,0.0591,0.2657,0.3051,6,proof_utility_mean
trees_bst_insert,trees,code_only_v1,0.3055,0.0082,0.3008,0.0071,0.3008,0.3150,3,proof_utility_mean
trees_bst_insert,trees,full_method_v1,0.7421,0.0199,0.7306,0.0172,0.7306,0.7650,3,proof_utility_mean
trees_bst_insert,trees,naive_concat_v1,0.2849,0.0136,0.2849,0.0248,0.2766,0.2932,6,proof_utility_mean
trees_bst_insert,trees,text_only_v1,0.2553,0.0051,0.2552,0.0093,0.2521,0.2584,6,proof_utility_mean
trees_lowest_common_ancestor,trees,code_only_v1,0.2914,0.0000,0.2914,0.0000,0.2914,0.2914,3,proof_utility_mean
trees_lowest_common_ancestor,trees,full_method_v1,0.6502,0.0000,0.6502,0.0000,0.6502,0.6502,3,proof_utility_mean
trees_lowest_common_ancestor,trees,naive_concat_v1,0.2618,0.0065,0.2618,0.0118,0.2579,0.2657,6,proof_utility_mean
trees_lowest_common_ancestor,trees,text_only_v1,0.2505,0.0071,0.2505,0.0129,0.2462,0.2549,6,proof_utility_mean
