family,domain,system,mean,sd,median,iqr,bootstrap_ci95_low,bootstrap_ci95_high,n
arrays_binary_search,arrays,code_only_v1,2.2058,0.1217,2.2417,0.1295,2.1237,2.2846,7
arrays_binary_search,arrays,naive_concat_v1,2.6002,0.1052,2.6623,0.1732,2.5254,2.6637,7
arrays_binary_search,arrays,full_method_v1,3.1076,0.1165,3.0640,0.1591,3.0288,3.1886,7
arrays_max_subarray,arrays,code_only_v1,2.1847,0.0546,2.2112,0.0668,2.1427,2.2186,7
arrays_max_subarray,arrays,naive_concat_v1,2.6227,0.0788,2.6732,0.1384,2.5728,2.6721,7
arrays_max_subarray,arrays,full_method_v1,3.0824,0.1273,3.0541,0.1461,3.0023,3.1712,7
dp_knapsack_01,dp,code_only_v1,2.1774,0.1100,2.2172,0.2012,2.0957,2.2493,7
dp_knapsack_01,dp,naive_concat_v1,2.6475,0.0972,2.7075,0.1526,2.5776,2.7084,7
dp_knapsack_01,dp,full_method_v1,3.0917,0.1164,3.1122,0.2219,3.0105,3.1764,7
dp_longest_common_subsequence,dp,code_only_v1,2.2448,0.0597,2.2410,0.0957,2.2044,2.2846,7
dp_longest_common_subsequence,dp,naive_concat_v1,2.6544,0.0781,2.6245,0.0929,2.6053,2.7083,7
dp_longest_common_subsequence,dp,full_method_v1,3.1399,0.0824,3.1602,0.1143,3.0819,3.1909,7
graph_bfs_shortest_path,graph,code_only_v1,2.1839,0.1342,2.1419,0.2340,2.0964,2.2742,7
graph_bfs_shortest_path,graph,naive_concat_v1,2.6244,0.0620,2.5892,0.0975,2.5849,2.6683,7
graph_bfs_shortest_path,graph,full_method_v1,3.0457,0.0765,3.0741,0.1136,2.9937,3.0953,7
graph_dijkstra,graph,code_only_v1,2.2613,0.0597,2.2651,0.0957,2.2212,2.3022,7
graph_dijkstra,graph,naive_concat_v1,2.5415,0.0610,2.5111,0.0854,2.5014,2.5840,7
graph_dijkstra,graph,full_method_v1,3.0859,0.1400,3.0167,0.2525,2.9899,3.1738,7
greedy_coin_change_canonical,greedy,code_only_v1,2.2027,0.0781,2.2326,0.0929,2.1475,2.2525,7
greedy_coin_change_canonical,greedy,naive_concat_v1,2.6521,0.1058,2.7225,0.1892,2.5703,2.7159,7
greedy_coin_change_canonical,greedy,full_method_v1,3.1837,0.0607,3.1980,0.1040,3.1410,3.2247,7
greedy_interval_scheduling,greedy,code_only_v1,2.1609,0.0955,2.1377,0.1629,2.0970,2.2248,7
greedy_interval_scheduling,greedy,naive_concat_v1,2.6140,0.0909,2.5790,0.1281,2.5541,2.6735,7
greedy_interval_scheduling,greedy,full_method_v1,3.0214,0.0672,3.0604,0.1160,2.9749,3.0659,7
sorting_insertion_sort,sorting,code_only_v1,2.1760,0.1164,2.1965,0.2219,2.1011,2.2538,7
sorting_insertion_sort,sorting,naive_concat_v1,2.6473,0.0672,2.6865,0.1160,2.6014,2.6909,7
sorting_insertion_sort,sorting,full_method_v1,3.0878,0.1204,3.0916,0.1367,3.0051,3.1704,7
sorting_merge_sort,sorting,code_only_v1,2.2153,0.1480,2.3075,0.2439,2.1160,2.3084,7
sorting_merge_sort,sorting,naive_concat_v1,2.5713,0.1277,2.4897,0.1871,2.4912,2.6651,7
sorting_merge_sort,sorting,full_method_v1,3.1286,0.0903,3.1504,0.1470,3.0659,3.1862,7
trees_bst_insert,trees,code_only_v1,2.2133,0.1082,2.2382,0.0847,2.1370,2.2816,7
trees_bst_insert,trees,naive_concat_v1,2.6886,0.0627,2.6966,0.0473,2.6419,2.7254,7
trees_bst_insert,trees,full_method_v1,3.1162,0.0454,3.1238,0.0669,3.0854,3.1467,7
trees_lowest_common_ancestor,trees,code_only_v1,2.2437,0.0610,2.2133,0.0854,2.2041,2.2885,7
trees_lowest_common_ancestor,trees,naive_concat_v1,2.6700,0.0942,2.7309,0.1488,2.6017,2.7269,7
trees_lowest_common_ancestor,trees,full_method_v1,3.1311,0.1031,3.1882,0.1647,3.0573,3.1975,7
