family,domain,system,mean,sd,median,iqr,bootstrap_ci95_low,bootstrap_ci95_high,n,aggregate_metric
arrays_binary_search,arrays,code_only_v1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2,vacuity_rate
arrays_binary_search,arrays,full_method_v1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2,vacuity_rate
arrays_binary_search,arrays,naive_concat_v1,0.0833,0.1179,0.0833,0.0834,0.0000,0.1667,2,vacuity_rate
arrays_binary_search,arrays,text_only_v1,0.2857,nan,0.2857,nan,0.2857,0.2857,1,vacuity_rate
arrays_max_subarray,arrays,code_only_v1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2,vacuity_rate
arrays_max_subarray,arrays,full_method_v1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2,vacuity_rate
arrays_max_subarray,arrays,naive_concat_v1,0.0909,0.0000,0.0909,0.0000,0.0909,0.0909,2,vacuity_rate
arrays_max_subarray,arrays,text_only_v1,0.0714,0.1010,0.0714,0.0714,0.0000,0.1429,2,vacuity_rate
dp_knapsack_01,dp,code_only_v1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2,vacuity_rate
dp_knapsack_01,dp,full_method_v1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2,vacuity_rate
dp_knapsack_01,dp,naive_concat_v1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2,vacuity_rate
dp_knapsack_01,dp,text_only_v1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2,vacuity_rate
dp_longest_common_subsequence,dp,code_only_v1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2,vacuity_rate
dp_longest_common_subsequence,dp,full_method_v1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2,vacuity_rate
dp_longest_common_subsequence,dp,naive_concat_v1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2,vacuity_rate
dp_longest_common_subsequence,dp,text_only_v1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2,vacuity_rate
graph_bfs_shortest_path,graph,code_only_v1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2,vacuity_rate
graph_bfs_shortest_path,graph,full_method_v1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2,vacuity_rate
graph_bfs_shortest_path,graph,naive_concat_v1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2,vacuity_rate
graph_bfs_shortest_path,graph,text_only_v1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2,vacuity_rate
