run_id,system_id,provider_name,provider_model,total_input_tokens,total_output_tokens,wall_clock_seconds,estimated_or_billed_cost_usd,cost_status,cost_reason_code,runner_hostname,runner_os,runner_arch,lean_check_time_seconds,manifest_path
run_2026_04_22_code_only_v1_dev_001,code_only_v1,stub,stub-local,,,,,,,PETEL,windows,x86_64,,runs/run_2026_04_22_code_only_v1_dev_001/run_manifest.json
run_2026_04_22_code_only_v1_eval_001,code_only_v1,openai,gpt-5.4-nano,,,,,,,PETEL,windows,x86_64,,runs/run_2026_04_22_code_only_v1_eval_001/run_manifest.json
run_2026_04_22_code_only_v1_eval_002,code_only_v1,openai,gpt-5.4-nano,,,,,,,PETEL,windows,x86_64,,runs/run_2026_04_22_code_only_v1_eval_002/run_manifest.json
run_2026_04_22_code_only_v1_eval_003,code_only_v1,openai,gpt-5.4-nano,,,,,,,PETEL,windows,x86_64,,runs/run_2026_04_22_code_only_v1_eval_003/run_manifest.json
run_2026_04_22_code_only_v1_eval_full_001,code_only_v1,openai,gpt-5.4-nano,,,,,,,PETEL,windows,x86_64,,runs/run_2026_04_22_code_only_v1_eval_full_001/run_manifest.json
run_2026_04_22_code_only_v1_eval_zfix_001,code_only_v1,stub,stub-local,,,,,,,PETEL,windows,x86_64,,runs/run_2026_04_22_code_only_v1_eval_zfix_001/run_manifest.json
run_2026_04_22_code_only_v1_eval_zzz_packet_regen_001,code_only_v1,stub,stub-local,,,,,,,PETEL,windows,x86_64,,runs/run_2026_04_22_code_only_v1_eval_zzz_packet_regen_001/run_manifest.json
run_2026_04_22_code_only_v1_eval_zzzz_live_api_001,code_only_v1,openai,gpt-5.4-nano,,,,,,,PETEL,windows,x86_64,,runs/run_2026_04_22_code_only_v1_eval_zzzz_live_api_001/run_manifest.json
run_2026_04_22_code_only_v1_eval_zzzzz_full_refresh_001,code_only_v1,openai,gpt-5.4-nano,,,,,,,PETEL,windows,x86_64,,runs/run_2026_04_22_code_only_v1_eval_zzzzz_full_refresh_001/run_manifest.json
run_2026_04_22_code_only_v1_eval_zzzzzz_focus6_clean_001,code_only_v1,openai,gpt-5.4-nano,,,,,,,PETEL,windows,x86_64,,runs/run_2026_04_22_code_only_v1_eval_zzzzzz_focus6_clean_001/run_manifest.json
run_2026_04_22_code_only_v1_eval_zzzzzzzz_focus6_greedy_retry_001,code_only_v1,openai,gpt-5.4-nano,,,,,,,PETEL,windows,x86_64,,runs/run_2026_04_22_code_only_v1_eval_zzzzzzzz_focus6_greedy_retry_001/run_manifest.json
run_2026_04_22_code_only_v1_eval_zzzzzzzzz_focus6_semalign_001,code_only_v1,openai,gpt-5.4-nano,,,,,,,PETEL,windows,x86_64,,runs/run_2026_04_22_code_only_v1_eval_zzzzzzzzz_focus6_semalign_001/run_manifest.json
run_2026_04_22_code_only_v1_eval_zzzzzzzzzza_001,code_only_v1,openai,gpt-5.4-nano,,,,,,,PETEL,windows,x86_64,,runs/run_2026_04_22_code_only_v1_eval_zzzzzzzzzza_001/run_manifest.json
run_2026_04_22_code_only_v1_eval_zzzzzzzzzzb_001,code_only_v1,openai,gpt-5.4-nano,,,,,,,PETEL,windows,x86_64,,runs/run_2026_04_22_code_only_v1_eval_zzzzzzzzzzb_001/run_manifest.json
run_2026_04_22_code_only_v1_eval_zzzzzzzzzzc_001,code_only_v1,openai,gpt-5.4-nano,,,,,,,PETEL,windows,x86_64,,runs/run_2026_04_22_code_only_v1_eval_zzzzzzzzzzc_001/run_manifest.json
run_2026_04_22_code_only_v1_eval_zzzzzzzzzzd_001,code_only_v1,openai,gpt-5.4-nano,,,,,,,PETEL,windows,x86_64,,runs/run_2026_04_22_code_only_v1_eval_zzzzzzzzzzd_001/run_manifest.json
run_2026_04_22_code_only_v1_eval_zzzzzzzzzzf_001,code_only_v1,openai,gpt-5.4-nano,,,,,,,PETEL,windows,x86_64,,runs/run_2026_04_22_code_only_v1_eval_zzzzzzzzzzf_001/run_manifest.json
run_2026_04_22_code_only_v1_eval_zzzzzzzzzzs_001,code_only_v1,openai,gpt-5.4-nano,,,,,,,PETEL,windows,x86_64,,runs/run_2026_04_22_code_only_v1_eval_zzzzzzzzzzs_001/run_manifest.json
