family,domain,system,faithfulness_mean,faithfulness_ci95_low,faithfulness_ci95_high,code_consistency_mean,code_consistency_ci95_low,code_consistency_ci95_high,vacuity_mean,vacuity_ci95_low,vacuity_ci95_high,proof_utility_mean,proof_utility_ci95_low,proof_utility_ci95_high,n_instances
arrays_binary_search,arrays,code_only_v1,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.3150,0.3150,0.3150,7
arrays_binary_search,arrays,full_method_v1,0.6607,0.5536,0.8214,0.8571,0.7500,0.9286,0.0000,0.0000,0.0000,0.2669,0.2517,0.2897,7
arrays_binary_search,arrays,naive_concat_v1,0.9286,0.8750,0.9821,1.0000,1.0000,1.0000,0.0953,0.0476,0.1429,0.3049,0.2998,0.3099,7
arrays_binary_search,arrays,text_only_v1,0.8571,0.8571,0.8571,1.0000,1.0000,1.0000,0.2857,0.2857,0.2857,0.2947,0.2947,0.2947,7
arrays_max_subarray,arrays,code_only_v1,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.3150,0.3150,0.3150,7
arrays_max_subarray,arrays,full_method_v1,0.9000,0.9000,0.9000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.3008,0.3008,0.3008,7
arrays_max_subarray,arrays,naive_concat_v1,0.6753,0.5780,0.7402,1.0000,1.0000,1.0000,0.0909,0.0909,0.0909,0.2690,0.2552,0.2782,7
arrays_max_subarray,arrays,text_only_v1,0.7959,0.6939,0.8980,1.0000,1.0000,1.0000,0.0817,0.0408,0.1225,0.2861,0.2716,0.3078,7
dp_knapsack_01,dp,code_only_v1,0.8333,0.8333,0.8333,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.7076,0.7076,0.7076,7
dp_knapsack_01,dp,full_method_v1,0.8333,0.8333,0.8333,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.7076,0.7076,0.7076,7
dp_knapsack_01,dp,naive_concat_v1,0.8333,0.8333,0.8333,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.7076,0.7076,0.7076,7
dp_knapsack_01,dp,text_only_v1,0.8333,0.8333,0.8333,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.7076,0.7076,0.7076,7
dp_longest_common_subsequence,dp,code_only_v1,0.8571,0.7857,0.9643,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.2948,0.2847,0.3099,7
dp_longest_common_subsequence,dp,full_method_v1,0.8054,0.8018,0.8107,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.2874,0.2869,0.2882,7
dp_longest_common_subsequence,dp,naive_concat_v1,0.5734,0.5558,0.5851,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.2545,0.2520,0.2570,7
dp_longest_common_subsequence,dp,text_only_v1,0.5586,0.5566,0.5615,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.2524,0.2521,0.2529,7
graph_bfs_shortest_path,graph,code_only_v1,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.3150,0.3150,0.3150,7
graph_bfs_shortest_path,graph,full_method_v1,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.5079,0.3793,0.6364,7
