section,key,value
summary,strict_unique_instances,71
summary,expanded_unique_instances,84
summary,missing_unique_instances,13
missing_family_counts,arrays_binary_search,1
missing_family_counts,arrays_max_subarray,1
missing_family_counts,dp_knapsack_01,2
missing_family_counts,dp_longest_common_subsequence,1
missing_family_counts,graph_bfs_shortest_path,1
missing_family_counts,graph_dijkstra,1
missing_family_counts,greedy_coin_change_canonical,1
missing_family_counts,greedy_interval_scheduling,1
missing_family_counts,sorting_insertion_sort,1
missing_family_counts,sorting_merge_sort,1
missing_family_counts,trees_bst_insert,1
missing_family_counts,trees_lowest_common_ancestor,1
missing_instance_ids,arrays_binary_search_003,mapped_from_canonical_only
missing_instance_ids,arrays_max_subarray_003,mapped_from_canonical_only
missing_instance_ids,dp_knapsack_01_003,mapped_from_canonical_only
missing_instance_ids,dp_knapsack_01_007,mapped_from_canonical_only
missing_instance_ids,dp_longest_common_subsequence_003,mapped_from_canonical_only
missing_instance_ids,graph_bfs_shortest_path_003,mapped_from_canonical_only
missing_instance_ids,graph_dijkstra_003,mapped_from_canonical_only
missing_instance_ids,greedy_coin_change_canonical_003,mapped_from_canonical_only
missing_instance_ids,greedy_interval_scheduling_003,mapped_from_canonical_only
missing_instance_ids,sorting_insertion_sort_003,mapped_from_canonical_only
missing_instance_ids,sorting_merge_sort_003,mapped_from_canonical_only
missing_instance_ids,trees_bst_insert_003,mapped_from_canonical_only
missing_instance_ids,trees_lowest_common_ancestor_003,mapped_from_canonical_only
