family,domain,system,faithfulness_mean,faithfulness_ci95_low,faithfulness_ci95_high,code_consistency_mean,code_consistency_ci95_low,code_consistency_ci95_high,vacuity_mean,vacuity_ci95_low,vacuity_ci95_high,proof_utility_mean,proof_utility_ci95_low,proof_utility_ci95_high,n_instances
arrays_binary_search,arrays,code_only_v1,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.3150,0.3150,0.3150,2
arrays_binary_search,arrays,full_method_v1,0.8750,0.8750,0.8750,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.2973,0.2973,0.2973,2
arrays_binary_search,arrays,naive_concat_v1,0.9375,0.8750,1.0000,1.0000,1.0000,1.0000,0.0833,0.0000,0.1667,0.3062,0.2973,0.3150,2
arrays_binary_search,arrays,text_only_v1,0.8571,0.8571,0.8571,1.0000,1.0000,1.0000,0.2857,0.2857,0.2857,0.2947,0.2947,0.2947,1
arrays_max_subarray,arrays,code_only_v1,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.3150,0.3150,0.3150,2
arrays_max_subarray,arrays,full_method_v1,0.9000,0.9000,0.9000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.3008,0.3008,0.3008,2
arrays_max_subarray,arrays,naive_concat_v1,0.6591,0.5455,0.7727,1.0000,1.0000,1.0000,0.0909,0.0909,0.0909,0.2667,0.2506,0.2828,2
arrays_max_subarray,arrays,text_only_v1,0.8215,0.6429,1.0000,1.0000,1.0000,1.0000,0.0714,0.0000,0.1429,0.2897,0.2644,0.3150,2
dp_knapsack_01,dp,code_only_v1,0.8333,0.8333,0.8333,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.7076,0.7076,0.7076,2
dp_knapsack_01,dp,full_method_v1,0.8333,0.8333,0.8333,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.7076,0.7076,0.7076,2
dp_knapsack_01,dp,naive_concat_v1,0.8333,0.8333,0.8333,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.7076,0.7076,0.7076,2
dp_knapsack_01,dp,text_only_v1,0.8333,0.8333,0.8333,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.7076,0.7076,0.7076,2
dp_longest_common_subsequence,dp,code_only_v1,0.8750,0.7500,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.2973,0.2796,0.3150,2
dp_longest_common_subsequence,dp,full_method_v1,0.8063,0.8000,0.8125,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.2875,0.2867,0.2884,2
dp_longest_common_subsequence,dp,naive_concat_v1,0.5705,0.5500,0.5909,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.2541,0.2512,0.2570,2
dp_longest_common_subsequence,dp,text_only_v1,0.5591,0.5556,0.5625,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.2525,0.2520,0.2530,2
graph_bfs_shortest_path,graph,code_only_v1,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.3150,0.3150,0.3150,2
graph_bfs_shortest_path,graph,full_method_v1,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.5400,0.3150,0.7650,2
graph_bfs_shortest_path,graph,naive_concat_v1,0.8500,0.7000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.2938,0.2725,0.3150,2
graph_bfs_shortest_path,graph,text_only_v1,0.6190,0.5714,0.6667,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.2610,0.2542,0.2677,2
graph_dijkstra,graph,code_only_v1,0.9167,0.9167,0.9167,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.7363,0.7363,0.7363,2
graph_dijkstra,graph,full_method_v1,0.9286,0.9286,0.9286,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.7404,0.7404,0.7404,2
graph_dijkstra,graph,naive_concat_v1,0.9286,0.9286,0.9286,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.7404,0.7404,0.7404,2
graph_dijkstra,graph,text_only_v1,0.9286,0.9286,0.9286,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.7404,0.7404,0.7404,2
greedy_coin_change_canonical,greedy,code_only_v1,0.7500,0.7500,0.7500,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.2796,0.2796,0.2796,2
greedy_coin_change_canonical,greedy,full_method_v1,0.7750,0.7500,0.8000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.4828,0.2867,0.6789,2
greedy_coin_change_canonical,greedy,naive_concat_v1,0.5416,0.5000,0.5833,0.7750,0.5500,1.0000,0.0416,0.0000,0.0833,0.2500,0.2441,0.2559,2
greedy_coin_change_canonical,greedy,text_only_v1,0.5357,0.5000,0.5714,0.7750,0.5500,1.0000,0.1250,0.0000,0.2500,0.2491,0.2441,0.2542,2
greedy_interval_scheduling,greedy,code_only_v1,0.7500,0.7500,0.7500,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.2796,0.2796,0.2796,2
greedy_interval_scheduling,greedy,full_method_v1,0.7750,0.7500,0.8000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.6875,0.6789,0.6962,2
greedy_interval_scheduling,greedy,naive_concat_v1,0.7208,0.5667,0.8750,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.2754,0.2536,0.2973,2
greedy_interval_scheduling,greedy,text_only_v1,0.5455,0.5455,0.5455,1.0000,1.0000,1.0000,0.0909,0.0909,0.0909,0.2506,0.2506,0.2506,2
sorting_insertion_sort,sorting,code_only_v1,0.8333,0.8333,0.8333,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.2914,0.2914,0.2914,2
sorting_insertion_sort,sorting,full_method_v1,0.8333,0.8333,0.8333,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.7076,0.7076,0.7076,2
sorting_insertion_sort,sorting,naive_concat_v1,0.7980,0.7778,0.8182,1.0000,1.0000,1.0000,0.1010,0.0909,0.1111,0.2863,0.2835,0.2892,2
sorting_insertion_sort,sorting,text_only_v1,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.3150,0.3150,0.3150,1
sorting_merge_sort,sorting,code_only_v1,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.3150,0.3150,0.3150,2
sorting_merge_sort,sorting,full_method_v1,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.7650,0.7650,0.7650,2
sorting_merge_sort,sorting,naive_concat_v1,0.9772,0.9545,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.3118,0.3086,0.3150,2
sorting_merge_sort,sorting,text_only_v1,0.7916,0.5833,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.2854,0.2559,0.3150,2
trees_bst_insert,trees,code_only_v1,0.9500,0.9000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.3079,0.3008,0.3150,2
trees_bst_insert,trees,full_method_v1,0.9500,0.9000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.7478,0.7306,0.7650,2
trees_bst_insert,trees,naive_concat_v1,0.7875,0.7000,0.8750,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.2849,0.2725,0.2973,2
trees_bst_insert,trees,text_only_v1,0.5783,0.5455,0.6111,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.2552,0.2506,0.2599,2
trees_lowest_common_ancestor,trees,code_only_v1,0.8333,0.8333,0.8333,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.2914,0.2914,0.2914,2
