instance_id,family,domain,split,system,faithfulness_mean,code_consistency_mean,vacuity_rate,proof_utility_mean,contradiction_flag,missing_critical_units,failure_mode_label,annotation_origin,source_template_id,repair_subset
arrays_binary_search_001,arrays_binary_search,arrays,dev,code_only_v1,1.0000,1.0000,0.0000,0.3150,false,0,,direct_adjudicated,arrays_binary_search_001,no
arrays_binary_search_001,arrays_binary_search,arrays,dev,full_method_v1,0.2500,0.5000,0.0000,0.2087,true,3,low_faithfulness,direct_adjudicated,arrays_binary_search_001,no
arrays_binary_search_001,arrays_binary_search,arrays,dev,naive_concat_v1,0.8750,1.0000,0.1667,0.2973,false,0,,direct_adjudicated,arrays_binary_search_001,no
arrays_binary_search_002,arrays_binary_search,arrays,dev,code_only_v1,1.0000,1.0000,0.0000,0.3150,false,0,,direct_adjudicated,arrays_binary_search_002,no
arrays_binary_search_002,arrays_binary_search,arrays,dev,full_method_v1,0.8750,1.0000,0.0000,0.2973,false,0,,direct_adjudicated,arrays_binary_search_002,no
arrays_binary_search_002,arrays_binary_search,arrays,dev,naive_concat_v1,1.0000,1.0000,0.0000,0.3150,false,0,,direct_adjudicated,arrays_binary_search_002,no
arrays_binary_search_002,arrays_binary_search,arrays,dev,text_only_v1,0.8571,1.0000,0.2857,0.2947,false,0,,direct_adjudicated,arrays_binary_search_002,no
arrays_binary_search_003,arrays_binary_search,arrays,dev,code_only_v1,1.0000,1.0000,0.0000,0.3150,false,0,,direct_adjudicated,arrays_binary_search_001,no
arrays_binary_search_003,arrays_binary_search,arrays,dev,full_method_v1,0.2500,0.5000,0.0000,0.2087,true,3,low_faithfulness,direct_adjudicated,arrays_binary_search_001,no
arrays_binary_search_003,arrays_binary_search,arrays,dev,naive_concat_v1,0.8750,1.0000,0.1667,0.2973,false,0,,direct_adjudicated,arrays_binary_search_001,no
arrays_binary_search_003,arrays_binary_search,arrays,dev,text_only_v1,0.8571,1.0000,0.2857,0.2947,false,0,,direct_adjudicated,arrays_binary_search_002,no
arrays_binary_search_004,arrays_binary_search,arrays,eval,code_only_v1,1.0000,1.0000,0.0000,0.3150,false,0,,direct_adjudicated,arrays_binary_search_001,no
