metric,system,mean,bootstrap_ci95_low,bootstrap_ci95_high,n
consistency,code_only_v1,1.0000,1.0000,1.0000,47
consistency,full_method_v1,0.9830,0.9602,1.0000,44
consistency,naive_concat_v1,0.9786,0.9500,1.0000,63
consistency,text_only_v1,0.9801,0.9537,1.0000,68
faithfulness,code_only_v1,0.8769,0.8472,0.9050,47
faithfulness,full_method_v1,0.8519,0.8145,0.8866,44
faithfulness,naive_concat_v1,0.7450,0.7076,0.7851,63
faithfulness,text_only_v1,0.7069,0.6642,0.7498,68
proof_utility,code_only_v1,0.3971,0.3461,0.4511,47
proof_utility,full_method_v1,0.5547,0.4880,0.6136,44
proof_utility,naive_concat_v1,0.3395,0.3027,0.3795,63
proof_utility,text_only_v1,0.3361,0.3009,0.3752,68
reliability,code_only_v1,0.7592,0.7379,0.7791,47
reliability,full_method_v1,0.7903,0.7492,0.8249,44
reliability,naive_concat_v1,0.6663,0.6370,0.6940,63
reliability,text_only_v1,0.6371,0.6064,0.6679,68
vacuity,code_only_v1,0.0000,0.0000,0.0000,47
vacuity,full_method_v1,0.0000,0.0000,0.0000,44
vacuity,naive_concat_v1,0.0302,0.0182,0.0430,63
vacuity,text_only_v1,0.0464,0.0272,0.0687,68
