family,domain,system,faithfulness_mean,faithfulness_ci95_low,faithfulness_ci95_high,n_instances
arrays_binary_search,arrays,code_only_v1,1.0000,1.0000,1.0000,2
arrays_binary_search,arrays,full_method_v1,0.8750,0.8750,0.8750,2
arrays_binary_search,arrays,naive_concat_v1,0.9375,0.8750,1.0000,2
arrays_binary_search,arrays,text_only_v1,0.8571,0.8571,0.8571,1
arrays_max_subarray,arrays,code_only_v1,1.0000,1.0000,1.0000,2
arrays_max_subarray,arrays,full_method_v1,0.9000,0.9000,0.9000,2
arrays_max_subarray,arrays,naive_concat_v1,0.6591,0.5455,0.7727,2
arrays_max_subarray,arrays,text_only_v1,0.8215,0.6429,1.0000,2
dp_knapsack_01,dp,code_only_v1,0.8333,0.8333,0.8333,2
dp_knapsack_01,dp,full_method_v1,0.8333,0.8333,0.8333,2
dp_knapsack_01,dp,naive_concat_v1,0.8333,0.8333,0.8333,2
dp_knapsack_01,dp,text_only_v1,0.8333,0.8333,0.8333,2
dp_longest_common_subsequence,dp,code_only_v1,0.8750,0.7500,1.0000,2
dp_longest_common_subsequence,dp,full_method_v1,0.8063,0.8000,0.8125,2
dp_longest_common_subsequence,dp,naive_concat_v1,0.5705,0.5500,0.5909,2
dp_longest_common_subsequence,dp,text_only_v1,0.5591,0.5556,0.5625,2
graph_bfs_shortest_path,graph,code_only_v1,1.0000,1.0000,1.0000,2
graph_bfs_shortest_path,graph,full_method_v1,1.0000,1.0000,1.0000,2
graph_bfs_shortest_path,graph,naive_concat_v1,0.8500,0.7000,1.0000,2
graph_bfs_shortest_path,graph,text_only_v1,0.6190,0.5714,0.6667,2
graph_dijkstra,graph,code_only_v1,0.9167,0.9167,0.9167,2
graph_dijkstra,graph,full_method_v1,0.9286,0.9286,0.9286,2
graph_dijkstra,graph,naive_concat_v1,0.9286,0.9286,0.9286,2
graph_dijkstra,graph,text_only_v1,0.9286,0.9286,0.9286,2
greedy_coin_change_canonical,greedy,code_only_v1,0.7500,0.7500,0.7500,2
greedy_coin_change_canonical,greedy,full_method_v1,0.7750,0.7500,0.8000,2
greedy_coin_change_canonical,greedy,naive_concat_v1,0.5416,0.5000,0.5833,2
greedy_coin_change_canonical,greedy,text_only_v1,0.5357,0.5000,0.5714,2
greedy_interval_scheduling,greedy,code_only_v1,0.7500,0.7500,0.7500,2
greedy_interval_scheduling,greedy,full_method_v1,0.7750,0.7500,0.8000,2
greedy_interval_scheduling,greedy,naive_concat_v1,0.7208,0.5667,0.8750,2
greedy_interval_scheduling,greedy,text_only_v1,0.5455,0.5455,0.5455,2
sorting_insertion_sort,sorting,code_only_v1,0.8333,0.8333,0.8333,2
sorting_insertion_sort,sorting,full_method_v1,0.8333,0.8333,0.8333,2
sorting_insertion_sort,sorting,naive_concat_v1,0.7980,0.7778,0.8182,2
sorting_insertion_sort,sorting,text_only_v1,1.0000,1.0000,1.0000,1
sorting_merge_sort,sorting,code_only_v1,1.0000,1.0000,1.0000,2
sorting_merge_sort,sorting,full_method_v1,1.0000,1.0000,1.0000,2
sorting_merge_sort,sorting,naive_concat_v1,0.9772,0.9545,1.0000,2
sorting_merge_sort,sorting,text_only_v1,0.7916,0.5833,1.0000,2
trees_bst_insert,trees,code_only_v1,0.9500,0.9000,1.0000,2
trees_bst_insert,trees,full_method_v1,0.9500,0.9000,1.0000,2
trees_bst_insert,trees,naive_concat_v1,0.7875,0.7000,0.8750,2
trees_bst_insert,trees,text_only_v1,0.5783,0.5455,0.6111,2
trees_lowest_common_ancestor,trees,code_only_v1,0.8333,0.8333,0.8333,2
trees_lowest_common_ancestor,trees,full_method_v1,0.8333,0.8333,0.8333,2
trees_lowest_common_ancestor,trees,naive_concat_v1,0.6250,0.5833,0.6667,2
trees_lowest_common_ancestor,trees,text_only_v1,0.5454,0.5000,0.5909,2
