system_id,instance_id,selector,semantic_faithfulness,code_consistency,vacuity_rate,proof_utility,missing_critical_units,reliability
code_only_v1,arrays_binary_search_001,current_selector,1.0000,1.0000,0.0000,0.3150,0,0.7740
naive_concat_v1,arrays_binary_search_001,current_selector,0.8750,1.0000,0.1667,0.2973,0,0.7006
full_method_v1,arrays_binary_search_001,current_selector,0.2500,0.5000,0.0000,0.2087,3,0.1689
text_only_v1,arrays_binary_search_002,current_selector,0.8571,1.0000,0.2857,0.2947,0,0.6758
code_only_v1,arrays_binary_search_002,current_selector,1.0000,1.0000,0.0000,0.3150,0,0.7740
naive_concat_v1,arrays_binary_search_002,current_selector,1.0000,1.0000,0.0000,0.3150,0,0.7740
full_method_v1,arrays_binary_search_002,current_selector,0.8750,1.0000,0.0000,0.2973,0,0.7256
text_only_v1,arrays_binary_search_004,current_selector,0.8571,1.0000,0.2857,0.2947,0,0.6758
code_only_v1,arrays_binary_search_004,current_selector,1.0000,1.0000,0.0000,0.3150,0,0.7740
naive_concat_v1,arrays_binary_search_004,current_selector,0.8750,1.0000,0.1667,0.2973,0,0.7006
full_method_v1,arrays_binary_search_004,current_selector,0.2500,0.5000,0.0000,0.2087,3,0.1689
text_only_v1,arrays_binary_search_005,current_selector,0.8571,1.0000,0.2857,0.2947,0,0.6758
full_method_v1,arrays_binary_search_005,current_selector,0.8750,1.0000,0.0000,0.2973,0,0.7256
text_only_v1,arrays_binary_search_006,current_selector,0.8571,1.0000,0.2857,0.2947,0,0.6758
naive_concat_v1,arrays_binary_search_006,current_selector,0.8750,1.0000,0.1667,0.2973,0,0.7006
full_method_v1,arrays_binary_search_006,current_selector,0.2500,0.5000,0.0000,0.2087,3,0.1689
text_only_v1,arrays_binary_search_007,current_selector,0.8571,1.0000,0.2857,0.2947,0,0.6758
full_method_v1,arrays_binary_search_007,current_selector,0.8750,1.0000,0.0000,0.2973,0,0.7256
text_only_v1,arrays_max_subarray_001,current_selector,0.6429,1.0000,0.1429,0.2644,2,0.5811
code_only_v1,arrays_max_subarray_001,current_selector,1.0000,1.0000,0.0000,0.3150,0,0.7740
naive_concat_v1,arrays_max_subarray_001,current_selector,0.7727,1.0000,0.0909,0.2828,2,0.6391
full_method_v1,arrays_max_subarray_001,current_selector,0.9000,1.0000,0.0000,0.3008,0,0.7353
text_only_v1,arrays_max_subarray_002,current_selector,1.0000,1.0000,0.0000,0.3150,2,0.7406
code_only_v1,arrays_max_subarray_002,current_selector,1.0000,1.0000,0.0000,0.3150,0,0.7740
naive_concat_v1,arrays_max_subarray_002,current_selector,0.5455,1.0000,0.0909,0.2506,2,0.5512
full_method_v1,arrays_max_subarray_002,current_selector,0.9000,1.0000,0.0000,0.3008,0,0.7353
text_only_v1,arrays_max_subarray_004,current_selector,0.6429,1.0000,0.1429,0.2644,2,0.5811
naive_concat_v1,arrays_max_subarray_004,current_selector,0.7727,1.0000,0.0909,0.2828,2,0.6391
full_method_v1,arrays_max_subarray_004,current_selector,0.9000,1.0000,0.0000,0.3008,0,0.7353
text_only_v1,arrays_max_subarray_005,current_selector,1.0000,1.0000,0.0000,0.3150,2,0.7406
naive_concat_v1,arrays_max_subarray_005,current_selector,0.5455,1.0000,0.0909,0.2506,2,0.5512
full_method_v1,arrays_max_subarray_005,current_selector,0.9000,1.0000,0.0000,0.3008,0,0.7353
text_only_v1,arrays_max_subarray_006,current_selector,0.6429,1.0000,0.1429,0.2644,2,0.5811
naive_concat_v1,arrays_max_subarray_006,current_selector,0.7727,1.0000,0.0909,0.2828,2,0.6391
full_method_v1,arrays_max_subarray_006,current_selector,0.9000,1.0000,0.0000,0.3008,0,0.7353
text_only_v1,arrays_max_subarray_007,current_selector,1.0000,1.0000,0.0000,0.3150,2,0.7406
naive_concat_v1,arrays_max_subarray_007,current_selector,0.5455,1.0000,0.0909,0.2506,2,0.5512
text_only_v1,dp_knapsack_01_001,current_selector,0.8333,1.0000,0.0000,0.7076,0,0.8468
code_only_v1,dp_knapsack_01_001,current_selector,0.8333,1.0000,0.0000,0.7076,0,0.8468
naive_concat_v1,dp_knapsack_01_001,current_selector,0.8333,1.0000,0.0000,0.7076,0,0.8468
full_method_v1,dp_knapsack_01_001,current_selector,0.8333,1.0000,0.0000,0.7076,0,0.8468
text_only_v1,dp_knapsack_01_002,current_selector,0.8333,1.0000,0.0000,0.7076,0,0.8468
code_only_v1,dp_knapsack_01_002,current_selector,0.8333,1.0000,0.0000,0.7076,0,0.8468
naive_concat_v1,dp_knapsack_01_002,current_selector,0.8333,1.0000,0.0000,0.7076,0,0.8468
full_method_v1,dp_knapsack_01_002,current_selector,0.8333,1.0000,0.0000,0.7076,0,0.8468
text_only_v1,dp_knapsack_01_004,current_selector,0.8333,1.0000,0.0000,0.7076,0,0.8468
code_only_v1,dp_knapsack_01_004,current_selector,0.8333,1.0000,0.0000,0.7076,0,0.8468
naive_concat_v1,dp_knapsack_01_004,current_selector,0.8333,1.0000,0.0000,0.7076,0,0.8468
full_method_v1,dp_knapsack_01_004,current_selector,0.8333,1.0000,0.0000,0.7076,0,0.8468
text_only_v1,dp_knapsack_01_005,current_selector,0.8333,1.0000,0.0000,0.7076,0,0.8468
code_only_v1,dp_knapsack_01_005,current_selector,0.8333,1.0000,0.0000,0.7076,0,0.8468
naive_concat_v1,dp_knapsack_01_005,current_selector,0.8333,1.0000,0.0000,0.7076,0,0.8468
full_method_v1,dp_knapsack_01_005,current_selector,0.8333,1.0000,0.0000,0.7076,0,0.8468
text_only_v1,dp_knapsack_01_006,current_selector,0.8333,1.0000,0.0000,0.7076,0,0.8468
code_only_v1,dp_knapsack_01_006,current_selector,0.8333,1.0000,0.0000,0.7076,0,0.8468
naive_concat_v1,dp_knapsack_01_006,current_selector,0.8333,1.0000,0.0000,0.7076,0,0.8468
text_only_v1,dp_longest_common_subsequence_001,current_selector,0.5556,1.0000,0.0000,0.2520,2,0.5687
code_only_v1,dp_longest_common_subsequence_001,current_selector,0.7500,1.0000,0.0000,0.2796,0,0.6773
naive_concat_v1,dp_longest_common_subsequence_001,current_selector,0.5909,1.0000,0.0000,0.2570,1,0.5990
full_method_v1,dp_longest_common_subsequence_001,current_selector,0.2000,0.5000,0.2000,0.2016,3,0.1195
text_only_v1,dp_longest_common_subsequence_002,current_selector,0.5625,1.0000,0.0000,0.2530,2,0.5714
code_only_v1,dp_longest_common_subsequence_002,current_selector,1.0000,1.0000,0.0000,0.3150,0,0.7740
naive_concat_v1,dp_longest_common_subsequence_002,current_selector,0.5500,1.0000,0.0000,0.2512,2,0.5666
full_method_v1,dp_longest_common_subsequence_002,current_selector,0.3125,0.7143,0.1250,0.2175,3,0.2450
text_only_v1,dp_longest_common_subsequence_004,current_selector,0.5556,1.0000,0.0000,0.2520,2,0.5687
code_only_v1,dp_longest_common_subsequence_004,current_selector,0.7500,1.0000,0.0000,0.2796,0,0.6773
naive_concat_v1,dp_longest_common_subsequence_004,current_selector,0.5909,1.0000,0.0000,0.2570,1,0.5990
full_method_v1,dp_longest_common_subsequence_004,current_selector,0.2000,0.5000,0.2000,0.2016,3,0.1195
text_only_v1,dp_longest_common_subsequence_005,current_selector,0.5625,1.0000,0.0000,0.2530,2,0.5714
naive_concat_v1,dp_longest_common_subsequence_005,current_selector,0.5500,1.0000,0.0000,0.2512,2,0.5666
text_only_v1,dp_longest_common_subsequence_006,current_selector,0.5556,1.0000,0.0000,0.2520,2,0.5687
code_only_v1,dp_longest_common_subsequence_006,current_selector,0.7500,1.0000,0.0000,0.2796,0,0.6773
naive_concat_v1,dp_longest_common_subsequence_006,current_selector,0.5909,1.0000,0.0000,0.2570,1,0.5990
text_only_v1,dp_longest_common_subsequence_007,current_selector,0.5625,1.0000,0.0000,0.2530,2,0.5714
naive_concat_v1,dp_longest_common_subsequence_007,current_selector,0.5500,1.0000,0.0000,0.2512,2,0.5666
text_only_v1,graph_bfs_shortest_path_001,current_selector,0.5714,1.0000,0.0000,0.2542,4,0.5415
code_only_v1,graph_bfs_shortest_path_001,current_selector,1.0000,1.0000,0.0000,0.3150,0,0.7740
naive_concat_v1,graph_bfs_shortest_path_001,current_selector,1.0000,1.0000,0.0000,0.3150,0,0.7740
full_method_v1,graph_bfs_shortest_path_001,current_selector,1.0000,1.0000,0.0000,0.3150,0,0.7740
text_only_v1,graph_bfs_shortest_path_002,current_selector,0.6667,1.0000,0.0000,0.2677,4,0.5784
code_only_v1,graph_bfs_shortest_path_002,current_selector,1.0000,1.0000,0.0000,0.3150,0,0.7740
naive_concat_v1,graph_bfs_shortest_path_002,current_selector,0.7000,1.0000,0.0000,0.2725,3,0.6079
full_method_v1,graph_bfs_shortest_path_002,current_selector,1.0000,1.0000,0.0000,0.7650,0,0.9224
text_only_v1,graph_bfs_shortest_path_004,current_selector,0.5714,1.0000,0.0000,0.2542,4,0.5415
code_only_v1,graph_bfs_shortest_path_004,current_selector,1.0000,1.0000,0.0000,0.3150,0,0.7740
naive_concat_v1,graph_bfs_shortest_path_004,current_selector,1.0000,1.0000,0.0000,0.3150,0,0.7740
full_method_v1,graph_bfs_shortest_path_004,current_selector,1.0000,1.0000,0.0000,0.3150,0,0.7740
text_only_v1,graph_bfs_shortest_path_005,current_selector,0.6667,1.0000,0.0000,0.2677,4,0.5784
code_only_v1,graph_bfs_shortest_path_005,current_selector,1.0000,1.0000,0.0000,0.3150,0,0.7740
naive_concat_v1,graph_bfs_shortest_path_005,current_selector,0.7000,1.0000,0.0000,0.2725,3,0.6079
full_method_v1,graph_bfs_shortest_path_005,current_selector,1.0000,1.0000,0.0000,0.7650,0,0.9224
text_only_v1,graph_bfs_shortest_path_006,current_selector,0.5714,1.0000,0.0000,0.2542,4,0.5415
text_only_v1,graph_bfs_shortest_path_007,current_selector,0.6667,1.0000,0.0000,0.2677,4,0.5784
naive_concat_v1,graph_bfs_shortest_path_007,current_selector,0.7000,1.0000,0.0000,0.2725,3,0.6079
text_only_v1,graph_dijkstra_001,current_selector,0.9286,1.0000,0.0000,0.7404,0,0.8901
code_only_v1,graph_dijkstra_001,current_selector,0.9167,1.0000,0.0000,0.7363,0,0.8847
naive_concat_v1,graph_dijkstra_001,current_selector,0.9286,1.0000,0.0000,0.7404,0,0.8901
full_method_v1,graph_dijkstra_001,current_selector,0.9286,1.0000,0.0000,0.7404,0,0.8901
text_only_v1,graph_dijkstra_002,current_selector,0.9286,1.0000,0.0000,0.7404,0,0.8901
code_only_v1,graph_dijkstra_002,current_selector,0.9167,1.0000,0.0000,0.7363,0,0.8847
naive_concat_v1,graph_dijkstra_002,current_selector,0.9286,1.0000,0.0000,0.7404,0,0.8901
full_method_v1,graph_dijkstra_002,current_selector,0.9286,1.0000,0.0000,0.7404,0,0.8901
text_only_v1,graph_dijkstra_004,current_selector,0.9286,1.0000,0.0000,0.7404,0,0.8901
code_only_v1,graph_dijkstra_004,current_selector,0.9167,1.0000,0.0000,0.7363,0,0.8847
naive_concat_v1,graph_dijkstra_004,current_selector,0.9286,1.0000,0.0000,0.7404,0,0.8901
full_method_v1,graph_dijkstra_004,current_selector,0.9286,1.0000,0.0000,0.7404,0,0.8901
text_only_v1,graph_dijkstra_005,current_selector,0.9286,1.0000,0.0000,0.7404,0,0.8901
code_only_v1,graph_dijkstra_005,current_selector,0.9167,1.0000,0.0000,0.7363,0,0.8847
naive_concat_v1,graph_dijkstra_005,current_selector,0.9286,1.0000,0.0000,0.7404,0,0.8901
full_method_v1,graph_dijkstra_005,current_selector,0.9286,1.0000,0.0000,0.7404,0,0.8901
text_only_v1,graph_dijkstra_006,current_selector,0.9286,1.0000,0.0000,0.7404,0,0.8901
code_only_v1,graph_dijkstra_006,current_selector,0.9167,1.0000,0.0000,0.7363,0,0.8847
code_only_v1,graph_dijkstra_007,current_selector,0.9167,1.0000,0.0000,0.7363,0,0.8847
text_only_v1,greedy_coin_change_canonical_001,current_selector,0.5000,0.5500,0.2500,0.2441,3,0.3446
code_only_v1,greedy_coin_change_canonical_001,current_selector,0.7500,1.0000,0.0000,0.2796,0,0.6773
naive_concat_v1,greedy_coin_change_canonical_001,current_selector,0.5000,0.5500,0.0833,0.2441,3,0.3696
full_method_v1,greedy_coin_change_canonical_001,current_selector,0.8000,1.0000,0.0000,0.2867,0,0.6966
text_only_v1,greedy_coin_change_canonical_002,current_selector,0.5714,1.0000,0.0000,0.2542,2,0.5748
code_only_v1,greedy_coin_change_canonical_002,current_selector,0.7500,1.0000,0.0000,0.2796,0,0.6773
naive_concat_v1,greedy_coin_change_canonical_002,current_selector,0.5833,1.0000,0.0000,0.2559,0,0.6128
full_method_v1,greedy_coin_change_canonical_002,current_selector,0.7500,1.0000,0.0000,0.6789,0,0.8090
text_only_v1,greedy_coin_change_canonical_004,current_selector,0.5000,0.5500,0.2500,0.2441,3,0.3446
code_only_v1,greedy_coin_change_canonical_004,current_selector,0.7500,1.0000,0.0000,0.2796,0,0.6773
naive_concat_v1,greedy_coin_change_canonical_004,current_selector,0.5000,0.5500,0.0833,0.2441,3,0.3696
text_only_v1,greedy_coin_change_canonical_005,current_selector,0.5714,1.0000,0.0000,0.2542,2,0.5748
code_only_v1,greedy_coin_change_canonical_005,current_selector,0.7500,1.0000,0.0000,0.2796,0,0.6773
naive_concat_v1,greedy_coin_change_canonical_005,current_selector,0.5833,1.0000,0.0000,0.2559,0,0.6128
full_method_v1,greedy_coin_change_canonical_005,current_selector,0.7500,1.0000,0.0000,0.6789,0,0.8090
text_only_v1,greedy_coin_change_canonical_006,current_selector,0.5000,0.5500,0.2500,0.2441,3,0.3446
